County	GORE	BUSH	BUCHANAN	NADER	Total	
ALACHUA	47300	34062	262	3215	86242	0
BAKER	2392	5610	73	53	8154	0
BAY	18850	38637	248	828	58815	0
BRADFORD	3072	5413	65	84	8669	0
BREVARD	97318	115185	570	4470	218395	0
BROWARD	386518	177279	789	7099	573306	0
CALHOUN	2155	2873	90	39	5174	0
CHARLOTTE	29641	35419	182	1461	66885	0
CITRUS	25501	29744	270	1378	57154	0
CLAY	14630	41745	186	562	57360	0
COLLIER	29905	60426	122	1400	92122	0
COLUMBIA	7047	10964	89	258	18508	0
DADE	328702	289456	561	5355	625269	0
DE SOTO	3322	4256	36	157	7807	0
DIXIE	1825	2698	29	75	4666	0
DUVAL	107680	152082	650	2752	264428	0
ESCAMBIA	40958	73029	504	1729	116680	0
FLAGLER	13891	12608	83	435	27100	0
FRANKLIN	2042	2448	33	85	4634	0
GADSDEN	9565	4750	39	139	14549	0
GILCHRIST	1910	3300	29	97	5395	0
GLADES	1420	1840	9	56	3342	0
GULF	2389	3546	71	86	6132	0
HAMILTON	1718	2153	24	39	3973	0
HARDEE	2341	3764	30	75	6234	0
HENDRY	3239	4743	22	103	8133	0
HERNANDO	32644	30646	242	1501	65219	0
HIGHLANDS	14152	20196	99	409	34941	0
HILLSBOROUGH	166581	176967	836	7348	353331	0
HOLMES	2154	4985	76	91	7343	0
INDIAN RIVER	19769	28627	105	950	49616	0
JACKSON	6868	9138	102	138	16300	0
JEFFERSON	3038	2481	29	76	5642	0
LAFAYETTE	788	1669	10	26	2504	0
LAKE	36555	49963	289	1459	88545	0
LEE	73560	106141	305	3587	184377	0
LEON	61425	39053	282	1932	103113	0
LEVY	5403	6860	67	284	12730	0
LIBERTY	1011	1316	39	19	2403	0
MADISON	3011	3038	29	54	6159	0
MANATEE	49169	57948	272	2489	110209	0
MARION	44648	55135	563	1810	102634	0
MARTIN	26619	33864	108	1075	61852	0
MONROE	16483	16059	47	1090	33878	0
NASSAU	6952	16404	90	255	23782	0
OKALOOSA	16924	52043	267	984	70605	0
OKEECHOBEE	4588	5058	43	131	9854	0
ORANGE	140115	134476	446	3881	279981	0
OSCEOLA	28177	26216	145	732	55658	0
PALM BEACH	268945	152846	3407	5564	432286	1
PASCO	69550	68581	570	3392	142713	0
PINELLAS	199660	184312	1010	9986	396938	0
POLK	74977	90101	538	2060	168195	0
PUTNAM	12091	13439	147	379	26205	0
ST. JOHNS	19482	39497	229	1214	60674	0
ST. LUCIE	41559	34705	124	1368	77989	0
SANTA ROSA	12795	36248	311	723	50285	0
SARASOTA	72854	83100	305	4066	160940	0
SEMINOLE	58888	75293	194	1940	137044	0
SUMTER	9634	12126	114	307	22258	0
SUWANNEE	4084	8014	108	182	12461	0
TAYLOR	2647	4051	27	59	6801	0
UNION	1399	2326	26	29	3794	0
VOLUSIA	97063	82214	396	2436	198230	0
WAKULLA	3835	4511	46	149	8583	0
WALTON	5637	12176	120	265	18307	0
WASHINGTON	2796	4983	88	93	8026	0
