times	direction	sex
16.51	facingwall	Female
28.9	facingwall	Female
33.54	facingwall	Female
20.33	facingwall	Female
29.94	facingtimer	Female
36.21	facingtimer	Female
22.91	facingtimer	Female
34.35	facingwall	Female
27.45	facingwall	Female
34.38	facingwall	Female
29	facingtimer	Female
28.61	facingtimer	Female
30.25	facingwall	Female
33.56	facingwall	Female
24.66	facingwall	Female
25.63	facingtimer	Female
27.38	facingtimer	Female
16.93	facingtimer	Female
17.8	facingtimer	Female
31.97	facingtimer	Female
28.06	facingtimer	Female
18.36	facingtimer	Male
27.31	facingwall	Male
62	facingwall	Male
28.83	facingtimer	Male
21.09	facingtimer	Male
27.25	facingtimer	Male
17.14	facingtimer	Male
18.6	facingtimer	Male
28.33	facingtimer	Male
21.97	facingtimer	Male
22.14	facingtimer	Male
25.12	facingtimer	Male
69	facingtimer	Female
39	facingtimer	Male
37	facingtimer	Female
73	facingtimer	Male
38	facingtimer	Female
23	facingtimer	Male
17	facingtimer	Female
17	facingtimer	Female
27	facingtimer	Male
56	facingtimer	Female
31	facingtimer	Male
48	facingtimer	Female
69	facingtimer	Male
26	facingtimer	Female
50	facingtimer	Male
72	facingtimer	Female
71	facingwall	Female
52	facingwall	Male
51	facingwall	Female
45	facingwall	Male
64	facingwall	Female
65	facingwall	Male
48	facingwall	Female
51	facingwall	Male
15	facingwall	Female
31	facingwall	Male
55	facingwall	Female
45	facingwall	Male
19	facingwall	Female
70	facingwall	Male
41	facingwall	Female
23	facingwall	Female
32	facingwall	Female
34	facingwall	Male
29	facingwall	Male
28	facingwall	Male
32	facingwall	Male
31	facingwall	Male
29	facingwall	Male
33	facingwall	Male
30	facingwall	Male
24	facingtimer	Male
31	facingtimer	Male
34	facingtimer	Male
28	facingtimer	Male
29	facingtimer	Male
26	facingtimer	Male
37	facingtimer	Male
27	facingtimer	Male
41.03	facingwall	Female
