age	weight	height	gender
21	65.6	174.0	male
23	71.8	175.3	male
28	80.7	193.5	male
23	72.6	186.5	male
22	78.8	187.2	male
21	74.8	181.5	male
26	86.4	184.0	male
27	78.4	184.5	male
23	62.0	175.0	male
21	81.6	184.0	male
23	76.6	180.0	male
22	83.6	177.8	male
20	90.0	192.0	male
26	74.6	176.0	male
23	71.0	174.0	male
22	79.6	184.0	male
30	93.8	192.7	male
22	70.0	171.5	male
29	72.4	173.0	male
22	85.9	176.0	male
22	78.8	176.0	male
20	77.8	180.5	male
22	66.2	172.7	male
24	86.4	176.0	male
26	81.8	173.5	male
24	89.6	178.0	male
21	82.8	180.3	male
24	76.4	180.3	male
23	63.2	164.5	male
19	60.9	173.0	male
23	74.8	183.5	male
25	70.0	175.5	male
23	72.4	188.0	male
23	84.1	189.2	male
23	69.1	172.8	male
20	59.5	170.0	male
22	67.2	182.0	male
24	61.3	170.0	male
22	68.6	177.8	male
24	80.1	184.2	male
21	87.8	186.7	male
23	84.7	171.4	male
24	73.4	172.7	male
35	72.1	175.3	male
29	82.6	180.3	male
25	88.7	182.9	male
23	84.1	188.0	male
20	94.1	177.2	male
25	74.9	172.1	male
29	59.1	167.0	male
23	75.6	169.5	male
23	86.2	174.0	male
36	75.3	172.7	male
25	87.1	182.2	male
24	55.2	164.1	male
20	57.0	163.0	male
52	61.4	171.5	male
50	76.8	184.2	male
46	86.8	174.0	male
51	72.2	174.0	male
28	71.6	177.0	male
48	84.8	186.0	male
35	68.2	167.0	male
23	66.1	171.8	male
23	72.0	182.0	male
62	64.6	167.0	male
21	74.8	177.8	male
26	70.0	164.5	male
33	101.6	192.0	male
36	63.2	175.5	male
41	79.1	171.2	male
40	78.9	181.6	male
27	67.7	167.4	male
27	66.0	181.1	male
23	68.2	177.0	male
31	63.9	174.5	male
26	72.0	177.5	male
23	56.8	170.5	male
24	74.5	182.4	male
24	90.9	197.1	male
34	93.0	180.1	male
21	80.9	175.5	male
25	72.7	180.6	male
34	68.0	184.4	male
31	70.9	175.5	male
40	72.5	180.6	male
21	72.5	177.0	male
33	83.4	177.1	male
25	75.5	181.6	male
29	73.0	176.5	male
27	70.2	175.0	male
44	73.4	174.0	male
26	70.5	165.1	male
22	68.9	177.0	male
37	102.3	192.0	male
38	68.4	176.5	male
20	65.9	169.4	male
21	75.7	182.1	male
24	84.5	179.8	male
45	87.7	175.3	male
25	86.4	184.9	male
22	73.2	177.3	male
29	53.9	167.4	male
37	72.0	178.1	male
20	55.5	168.9	male
20	58.4	157.2	male
32	83.2	180.3	male
23	72.7	170.2	male
25	64.1	177.8	male
27	72.3	172.7	male
21	65.0	165.1	male
27	86.4	186.7	male
25	65.0	165.1	male
38	88.6	174.0	male
44	84.1	175.3	male
27	66.8	185.4	male
37	75.5	177.8	male
28	93.2	180.3	male
33	82.7	180.3	male
25	58.0	177.8	male
21	79.5	177.8	male
30	78.6	177.8	male
26	71.8	177.8	male
27	116.4	177.8	male
33	72.2	163.8	male
29	83.6	188.0	male
27	85.5	198.1	male
34	90.9	175.3	male
42	85.9	166.4	male
29	89.1	190.5	male
41	75.0	166.4	male
43	77.7	177.8	male
43	86.4	179.7	male
29	90.9	172.7	male
27	73.6	190.5	male
62	76.4	185.4	male
33	69.1	168.9	male
45	84.5	167.6	male
30	64.5	175.3	male
20	69.1	170.2	male
22	108.6	190.5	male
51	86.4	177.8	male
34	80.9	190.5	male
44	87.7	177.8	male
46	94.5	184.2	male
34	80.2	176.5	male
32	72.0	177.8	male
28	71.4	180.3	male
31	72.7	171.4	male
29	84.1	172.7	male
42	76.8	172.7	male
29	63.6	177.8	male
31	80.9	177.8	male
30	80.9	182.9	male
27	85.5	170.2	male
25	68.6	167.6	male
24	67.7	175.3	male
33	66.4	165.1	male
45	102.3	185.4	male
37	70.5	181.6	male
44	95.9	172.7	male
34	84.1	190.5	male
55	87.3	179.1	male
43	71.8	175.3	male
24	65.9	170.2	male
22	95.9	193.0	male
38	91.4	171.4	male
24	81.8	177.8	male
29	96.8	177.8	male
25	69.1	167.6	male
37	82.7	167.6	male
30	75.5	180.3	male
26	79.5	182.9	male
35	73.6	176.5	male
29	91.8	186.7	male
30	84.1	188.0	male
37	85.9	188.0	male
34	81.8	177.8	male
28	82.5	174.0	male
27	80.5	177.8	male
32	70.0	171.4	male
28	81.8	185.4	male
22	84.1	185.4	male
44	90.5	188.0	male
25	91.4	188.0	male
49	89.1	182.9	male
