humerous	weight	group
687	24.5	survived
703	26.9	survived
709	26.9	survived
715	24.3	survived
728	24.1	survived
721	26.5	survived
729	24.6	survived
723	24.2	survived
728	23.6	survived
723	26.2	survived
726	26.2	survived
728	24.8	survived
736	25.4	survived
733	23.7	survived
730	25.7	survived
733	25.7	survived
730	26.3	survived
739	26.7	survived
735	23.9	survived
741	24.7	survived
741	28	survived
749	27.9	survived
741	25.9	survived
743	25.7	survived
741	26.6	survived
752	23.2	survived
752	25.7	survived
751	26.3	survived
756	24.3	survived
755	26.7	survived
766	24.9	survived
767	23.8	survived
769	25.6	survived
770	27	survived
780	24.7	survived
659	26.5	perished
689	26.1	perished
703	25.6	perished
702	25.9	perished
709	25.5	perished
713	27.6	perished
720	25.8	perished
729	24.9	perished
726	26	perished
726	26.5	perished
720	26	perished
737	27.1	perished
739	25.1	perished
731	26	perished
738	25.6	perished
736	25	perished
738	24.6	perished
744	25	perished
745	26	perished
743	28.3	perished
754	24.6	perished
752	27.5	perished
752	31.1	perished
765	28.3	perished
