gender	NumberCloseFriends
male	3
male	0
male	0
male	0
male	2
male	2
male	1
male	2
male	3
male	2
male	2
male	0
male	3
male	5
male	1
male	4
male	6
male	3
male	2
male	0
male	5
male	0
male	1
male	5
male	3
male	6
male	4
male	4
male	0
male	2
male	6
male	6
male	0
male	4
male	5
male	2
male	0
male	2
male	0
male	0
male	0
male	2
male	0
male	1
male	0
male	0
male	3
male	2
male	2
male	1
male	1
male	0
male	5
male	0
male	2
male	1
male	2
male	2
male	3
male	2
male	1
male	1
male	0
male	1
male	4
male	1
male	1
male	5
male	5
male	0
male	1
male	0
male	1
male	2
male	0
male	0
male	3
male	0
male	2
male	5
male	3
male	4
male	1
male	0
male	1
male	0
male	0
male	0
male	3
male	0
male	2
male	1
male	5
male	3
male	2
male	1
male	2
male	1
male	5
male	2
male	0
male	3
male	2
male	1
male	0
male	5
male	2
male	0
male	2
male	4
male	2
male	0
male	3
male	1
male	0
male	2
male	0
male	0
male	0
male	2
male	0
male	1
male	0
male	2
male	0
male	0
male	3
male	0
male	3
male	2
male	0
male	1
male	0
male	4
male	0
male	0
male	5
male	3
male	0
male	0
male	3
male	0
male	2
male	3
male	3
male	6
male	4
male	1
male	0
male	0
male	2
male	6
male	4
male	1
male	3
male	3
male	2
male	0
male	0
male	3
male	0
male	1
male	2
male	6
male	2
male	1
male	0
male	0
male	3
male	0
male	4
male	0
male	1
male	0
male	3
male	1
male	0
male	3
male	3
male	4
male	0
male	0
male	2
male	1
male	0
male	1
male	5
male	5
male	1
male	1
male	0
male	0
male	3
male	1
male	5
male	0
male	1
male	3
male	6
male	6
male	3
male	4
male	5
male	2
male	0
male	2
male	0
male	0
male	1
male	2
male	5
male	5
male	0
male	5
male	3
male	0
male	0
male	2
male	3
male	2
male	2
male	4
male	3
male	1
male	1
male	6
male	1
male	1
male	1
male	0
male	5
male	1
male	0
male	0
male	1
male	4
male	2
male	3
male	0
male	0
male	1
male	0
male	2
male	0
male	3
male	1
male	2
male	0
male	3
male	0
male	0
male	6
male	0
male	2
male	0
male	2
male	0
male	1
male	6
male	0
male	3
male	0
male	0
male	0
male	2
male	1
male	6
male	3
male	2
male	0
male	0
male	3
male	1
male	1
male	3
male	3
male	6
male	3
male	2
male	2
male	5
male	2
male	1
male	0
male	4
male	5
male	0
male	1
male	0
male	3
male	3
male	0
male	2
male	1
male	5
male	0
male	0
male	2
male	0
male	1
male	3
male	2
male	1
male	5
male	2
male	1
male	2
male	6
male	0
male	1
male	1
male	0
male	0
male	2
male	1
male	3
male	2
male	0
male	5
male	6
male	2
male	0
male	1
male	1
male	1
male	1
male	0
male	0
male	0
male	2
male	2
male	0
male	0
male	2
male	1
male	5
male	2
male	3
male	4
male	0
male	1
male	2
male	0
male	0
male	1
male	3
male	5
male	3
male	0
male	3
male	1
male	3
male	0
male	1
male	0
male	1
male	0
male	3
male	1
male	3
male	2
male	1
male	4
male	0
male	2
male	4
male	1
male	4
male	0
male	1
male	3
male	3
male	1
male	3
male	0
male	2
male	2
male	0
male	1
male	2
male	2
male	1
male	1
male	0
male	0
male	4
male	1
male	5
male	1
male	3
male	5
male	0
male	3
male	0
male	1
male	0
male	0
male	0
male	0
male	1
male	3
male	3
male	4
male	3
male	4
male	1
male	2
male	0
male	4
male	3
male	1
male	4
male	3
male	6
male	0
male	3
male	1
male	2
male	0
male	5
male	1
male	0
male	2
male	2
male	5
male	1
male	1
male	1
male	6
male	0
male	1
male	1
male	0
male	0
male	3
male	0
male	1
male	1
male	1
male	3
male	1
male	4
male	1
male	0
male	0
male	1
male	1
male	6
male	4
male	2
male	3
male	0
male	5
male	1
male	3
male	6
male	0
male	3
male	1
male	2
male	1
male	4
male	0
male	2
male	2
male	0
male	2
male	1
male	0
male	3
male	6
male	1
male	0
male	2
male	4
male	0
male	0
male	0
male	3
male	6
male	6
male	2
male	3
male	4
male	0
male	1
male	0
male	2
male	1
male	1
male	0
male	0
male	0
male	4
male	3
male	0
male	1
male	6
male	5
male	4
male	3
male	0
