x1   x2   x3
-0.06708   0.76375  -0.23766
-1.84440  -0.30044  -0.39555
 0.56109  -0.91247   1.21781
 2.33028  -0.07451   1.01145
 1.82923  -1.42627   0.81320
 0.45964   0.03653   0.47007
 1.94015  -0.58434   2.74682
-1.60572   0.72878  -1.06762
 0.38856   0.58063  -0.67655
 1.02659  -0.45119  -1.85842
-0.93669  -1.08546   0.18888
 1.08036   0.33581   0.37884
-0.90604  -1.59555   0.13374
 0.27060   1.02285   1.39187
-0.00566  -0.51308   0.55366
-0.70458  -0.23770   0.67355
-2.20341  -0.84436   1.39249
 0.11737  -0.65733   0.34872
-1.34892  -0.73839  -0.02936
-1.43806  -1.74331   0.89524
-0.38211   0.02176  -1.34296
 1.44242  -0.14057  -0.70040
-2.21896  -0.05558   0.02062
 0.79301   0.32771  -1.17978
 0.67100   0.91026  -0.13714
-0.86306  -0.04299   2.81153
 0.66719   0.93787  -1.04100
-0.20562   0.15564  -0.83836
-0.94999  -0.01879  -0.84290
 0.82855  -0.21015  -0.86826
 0.44844  -0.27796   0.86505
-0.62039  -1.18948   0.18926
-2.01612  -0.59848  -0.79317
 0.75599   0.01904  -0.20996
 0.44615  -0.16542  -0.80655
-0.37004  -2.07982   1.27865
-0.25012  -0.22579   0.54076
 0.75048   0.35029  -0.98201
 0.04021  -0.51226  -0.40234
-0.84440  -0.37365  -0.21442
-0.32827   0.29458  -2.23863
-1.10772  -0.21961  -2.07432
 1.26207  -0.22283  -1.10307
-0.75162   0.24501  -0.15347
-0.07120   0.86465   1.28952
 0.40869   0.17203   0.13699
 1.17900  -0.48054  -0.84927
 1.90373   0.37623   1.26374
 0.21076   0.73567   0.24327
 0.87760   0.07675  -0.57072
-1.67908  -0.22616   1.30115
 0.67017  -0.16026  -0.86638
-1.12538  -1.04893   0.66636
 0.12100   0.16228  -0.52536
 0.98668  -0.94776   0.61442
-0.58199  -0.20974   2.40740
 0.60483  -0.92692  -0.23775
-1.27621  -1.66928  -0.19176
-0.25657  -0.21233  -0.27903
-0.62717   0.60687  -1.61186
-0.43501  -0.38648   0.34254
 0.68977   0.62278   2.04104
 0.71978   0.96781   0.01361
 1.55378   0.03403   0.42026
-0.17067  -0.33253  -0.40763
-1.68185  -0.56832   0.39995
 0.55679  -0.72715   0.55862
-0.46037  -2.77414  -0.01795
 1.44310   2.83206  -0.88233
-0.75014   0.74739  -1.10783
-1.11227  -0.20288  -1.42878
 1.16186   1.10772   1.28714
 0.49703  -0.58491   0.97867
-0.82891  -0.16724   0.82003
-0.17278  -1.61747  -2.44147
-2.25729   0.18261  -1.55268
 0.83189   0.49817   1.03800
 2.18932   0.57108  -0.70703
 1.02007   1.33385  -0.25115
 0.29956  -0.09181  -0.66822
-0.83059  -0.16815  -1.16449
-1.80172   1.00742  -0.06447
 0.29495   0.40018  -1.27120
 0.25114  -0.06885  -0.03725
 0.81288  -0.01235  -0.81897
 1.86327   1.36586  -1.44556
 0.45870   0.21810  -0.04878
 0.07892  -0.27271   0.43030
-0.53011  -0.55645  -0.83974
-0.79808   0.13706   0.61501
-0.73975  -0.20136  -0.71275
 0.27113   0.56484   1.85748
-0.14103  -2.27935  -0.85940
-0.02806   0.36000  -0.06986
 0.21724  -1.00001   0.81387
-0.15375  -0.44949   0.01882
 1.63409   1.10959   0.35080
-1.11273   2.45526  -1.12926
-1.46470  -0.22568  -0.35157
-0.68780   0.14277   0.39018
-0.06330   0.18991   1.12537
-0.89052  -0.40317   1.04806
 0.70528  -0.33557   0.56086
-2.11037  -1.08477   1.05728
 0.40799   1.30479  -0.35479
 1.26198  -0.33229   1.09156
 1.11303  -0.18390   0.81190
 1.40587  -1.71350  -0.31394
-1.43009   0.82819  -0.40221
-1.45408   0.13007  -0.06466
-1.36022   0.22432   0.17370
-0.22878  -0.07564   0.85669
-1.52364  -1.08299   0.07845
-1.22291  -0.46077  -0.22151
 0.63092   0.16077  -0.27391
 0.82896   0.02686  -0.76063
-0.99829   0.95603  -0.43662
 1.59007   3.77563   0.77899
-0.70276   0.37117  -0.92488
 1.79514   0.64831  -0.54499
 0.90344  -0.35281   0.25921
-2.01444  -0.28655  -0.32063
-0.31958   1.57231   0.09982
-0.48955  -0.22959   0.08802
-0.20178  -0.36739  -0.83074
-0.18737  -2.03648  -0.25988
 1.40879   0.06974   1.22753
-0.37012  -0.33301   0.95931
-0.30134   0.72245   0.08336
 1.79132  -0.03871   0.72568
 1.03128  -0.76533  -1.71253
 0.13532   0.03961  -1.23187
-1.32606   0.54305  -1.01107
 1.55792   0.37248   1.03614
 0.79556  -0.10443  -0.87538
-0.74194  -0.47669  -0.52362
-0.98738  -0.02127   0.14835
 0.00993   0.17190  -0.20990
-0.92094   0.49888  -1.09419
 0.51004   0.16560   1.24027
-0.52234  -0.04185  -0.70116
 0.71570   0.21363   0.46592
-0.55537  -0.60099  -0.90305
 1.72793  -0.61544  -2.21808
 0.44162  -0.37603   1.25204
-0.68870  -0.14195   0.51089
 0.07502   1.81056  -0.11335
 1.90487   0.63711   1.66185
-1.13041   0.75938  -0.98070
 1.28523  -0.21727   0.64298
-1.72946   0.29643  -0.68421
-1.87295  -0.02677  -1.22851
 1.85501  -0.14877  -1.12036
-0.27015   0.70002  -0.68333
-0.95897   1.24106  -1.68495
 0.19745   1.34277  -0.49730
-1.83309   2.79573  -0.04868
-0.34164  -0.74225   0.76575
-0.29320   0.00445   0.00281
-0.47221  -0.70350   1.61178
 0.90858   0.07224   0.55159
-0.87632  -0.66488   0.81812
-0.74827   0.30034  -0.92688
 0.82228  -1.48372   0.11023
-0.43947   1.63006   0.29773
 1.21848   0.04234   0.01258
-0.09946  -0.22048   0.04838
-0.71179  -0.65181   0.48369
 1.84237  -0.31605   0.81611
-0.48902  -1.31855  -0.48452
 1.30952  -0.30412   2.14369
-0.67754   0.34581   0.27099
-1.17956  -0.25952  -0.12606
-0.76857  -0.75277  -0.84676
-1.67880  -0.17443   0.33397
 0.09645  -0.06694  -0.81552
-1.37791  -0.31270   1.42400
 0.24130   1.86211  -0.44812
 1.97230  -0.04848   0.33475
 0.52270  -0.69981   0.33946
 0.26189   0.29100   0.73721
 0.45544   1.39141  -0.22999
-1.19164  -1.38845   0.13791
-1.05540  -0.37313   0.81866
 0.41304  -1.34364   0.52842
-1.43339   0.76690   0.67828
 0.54279   1.01200  -0.96333
 1.22213  -2.97085  -0.27541
 1.54950   0.45027   0.00884
 0.40056  -0.33174  -1.41716
-0.28670  -0.21899  -0.54868
-1.82612  -0.69647  -0.28980
 1.25471   0.18637  -0.75152
-0.40572  -0.62251   0.13998
 1.37821   0.43381  -0.76236
 1.59782   0.06903   0.13758
 0.04587  -0.87815   0.26254
 0.92282   0.38045   0.52364
-1.86339   0.62107  -0.21750
-2.20110  -0.30729   0.00218
 0.24297   0.49485  -1.89624
 1.77044   0.18422  -0.76071
 1.88841  -3.10592   1.37056
 1.08987   0.52579   0.10719
 0.63707   0.06898   0.07551
 1.06236   0.09317  -0.38341
-0.10221  -0.56020   0.66241
-1.52043  -0.51837   0.42121
 1.41900  -0.49115   0.84908
 0.76733   0.34114  -1.66384
-0.76434   1.07490  -1.59296
-0.70234   0.00977   1.03367
-1.48023   0.62247  -0.02558
 0.09604  -0.02733   0.94973
 0.62615   0.43494  -0.51815
-0.18589   0.73217   0.28638
 0.07523  -0.14279   0.14996
-1.45010  -0.17499   0.67999
-0.03623  -0.32817  -0.03889
 1.65164   0.55582  -0.84118
-1.29594   0.11305  -2.33813
-0.53029   0.02745   0.37590
-0.34973   0.26648   0.29317
 1.29566  -0.59204  -1.65713
 1.65708   0.52961  -0.54552
 0.94312   0.75897   1.51509
 2.26202   0.39316  -0.21336
 1.10145   0.14407   0.41985
-0.20998  -2.29309   0.63093
-0.34232  -0.07571  -0.71753
 1.72313  -0.65663   1.33005
 0.17381  -0.84630  -2.47092
-0.21099   0.03743  -0.75888
 0.18811  -0.43931  -2.26639
 0.99656  -0.48649  -0.57955
-1.12988  -7.67314  -1.26697
-1.46869   0.67324  -0.10574
-0.96336   0.33832   0.74131
-0.32662  -2.27032   0.12224
 0.55051   2.53644  -0.17481
 1.68375  -0.14217  -0.53114
 0.73791  -0.37572   1.70287
-0.52395  -0.02206   0.47462
-0.06987   8.99602  -0.46534
-0.30517   0.69130   0.37473
-0.28353  -0.22482  -0.95448
 0.18637   0.36322  -0.73725
-0.20457  -0.19710  -0.87991
-0.09312  -0.20984   1.57845
-1.13485  -0.38056   0.91590
 0.87278   0.25542  -0.20549
-0.20149  -0.64302  -0.01088
 0.50342  -0.63902  -1.03003
 0.49990  -0.93396  -0.51964
-0.17271   1.69299  -0.81989
 0.20291   0.60677   0.91630
 1.85336   0.18652   1.26263
 0.98352  -1.54659  -0.55747
 0.87324  -0.82342   1.38015
-0.44246  -2.86804   1.04277
-1.86227   0.27121   0.44949
 0.07838   0.20522  -0.74330
 1.30369  -0.11894  -0.16584
 1.85671  -0.11090  -1.36347
-1.17544  -0.38233  -0.25527
-0.10394  -1.25238  -0.79202
-0.23643   0.46268   0.09311
-0.18566  -0.00908   1.27961
-0.87481   4.15969  -1.82975
 0.71887  -0.00916   1.29930
 0.50651   0.01901  -0.76507
 0.05677  -0.26837   0.14192
-0.19015  -0.44501  -1.86857
-0.35137   0.29132  -0.08315
-0.54206   1.90902  -0.90837
 0.04907   0.84459  -0.37208
-2.38835  -0.61958   0.36210
-0.02955  -0.40789   0.77611
-0.64372  -0.43618   0.32489
-1.20406  -0.71426  -1.73189
-0.99420  -0.33655  -0.10557
 0.75923  -0.42546  -1.26552
 0.43180   0.13741   1.56492
 0.07323  -0.65272   0.64252
 1.05916  -0.04593   0.04125
-0.45836  -0.11487   1.26219
 0.43736  -0.89904   0.32212
-0.66134  -0.88048   0.58925
 0.48631  -1.11040  -1.95405
-0.26779  -0.05210   0.62863
 1.19304   0.65992   0.93167
-1.12929  -0.43114   1.09822
-0.28301   0.01399   0.78482
 0.37632  -3.11525   0.57149
 0.26795  -0.79158   0.55383
