age	gender	month
30	male	Aug
23	male	Aug
44	male	Aug
48	male	Aug
34	male	Aug
28	male	Aug
49	male	Aug
39	male	Aug
39	male	Aug
52	male	Aug
29	male	Aug
23	male	Aug
33	male	Aug
20	male	Aug
28	male	Aug
47	male	Aug
59	male	Aug
27	male	Aug
30	male	Aug
43	male	Aug
26	male	Aug
27	male	Aug
38	male	Aug
24	male	Aug
24	male	Aug
10	male	Aug
16	male	Aug
21	male	Aug
19	male	Aug
52	male	Aug
65	male	Aug
49	male	Aug
82	male	Aug
54	male	Aug
45	male	Aug
26	male	Aug
22	male	Aug
65	male	Aug
35	male	Aug
16	male	Aug
52	male	Aug
34	male	Aug
34	male	Aug
10	male	Aug
52	male	Aug
33	male	Aug
36	male	Aug
0	male	Aug
35	male	Aug
23	male	Aug
36	male	Aug
67	male	Aug
50	male	Aug
27	male	Aug
67	male	Aug
49	male	Aug
54	male	Aug
18	male	Aug
24	male	Aug
53	male	Aug
32	male	Aug
56	male	Aug
40	male	Aug
53	male	Aug
28	male	Aug
47	male	Aug
11	male	Aug
40	male	Aug
66	female	Aug
24	female	Aug
44	female	Aug
23	female	Aug
31	female	Aug
48	female	Aug
22	female	Aug
36	female	Aug
27	female	Aug
24	female	Aug
33	female	Aug
25	female	Aug
32	female	Aug
31	female	Aug
1	female	Aug
42	female	Aug
22	female	Aug
29	female	Aug
37	female	Aug
53	female	Aug
52	female	Aug
58	female	Aug
35	female	Aug
27	female	Aug
51	female	Aug
59	female	Aug
26	female	Aug
26	female	Aug
51	female	Aug
61	female	Aug
51	female	Aug
31	female	Aug
55	female	Aug
37	female	Aug
28	female	Aug
28	female	Aug
39	female	Aug
41	female	Aug
34	female	Aug
21	female	Aug
43	female	Aug
49	female	Aug
49	female	Aug
21	female	Aug
36	female	Aug
24	female	Aug
22	female	Aug
25	female	Aug
64	female	Aug
40	female	Aug
55	female	Aug
28	female	Aug
83	female	Aug
54	female	Aug
33	female	Aug
21	female	Aug
32	female	Aug
46	female	Aug
45	female	Aug
32	female	Aug
19	female	Aug
27	female	Aug
23	female	Aug
32	male	Sep
47	male	Sep
55	male	Sep
34	male	Sep
16	male	Sep
18	male	Sep
25	male	Sep
63	male	Sep
36	male	Sep
44	male	Sep
18	male	Sep
19	male	Sep
22	male	Sep
47	male	Sep
46	male	Sep
47	male	Sep
22	male	Sep
52	male	Sep
65	male	Sep
22	male	Sep
32	male	Sep
19	male	Sep
51	male	Sep
47	male	Sep
37	male	Sep
45	male	Sep
39	male	Sep
19	male	Sep
48	male	Sep
80	male	Sep
23	male	Sep
46	male	Sep
30	male	Sep
13	male	Sep
27	male	Sep
35	male	Sep
10	male	Sep
56	male	Sep
49	male	Sep
50	male	Sep
26	male	Sep
57	male	Sep
48	male	Sep
30	male	Sep
30	male	Sep
15	male	Sep
26	male	Sep
18	male	Sep
55	male	Sep
19	male	Sep
0	male	Sep
65	male	Sep
43	male	Sep
31	male	Sep
60	male	Sep
26	male	Sep
76	male	Sep
26	male	Sep
27	female	Sep
45	female	Sep
33	female	Sep
21	female	Sep
48	female	Sep
46	female	Sep
51	female	Sep
19	female	Sep
47	female	Sep
49	female	Sep
22	female	Sep
43	female	Sep
46	female	Sep
24	female	Sep
43	female	Sep
31	female	Sep
41	female	Sep
24	female	Sep
42	female	Sep
25	female	Sep
60	female	Sep
18	female	Sep
34	female	Sep
40	female	Sep
13	female	Sep
29	female	Sep
21	female	Sep
27	female	Sep
57	female	Sep
34	female	Sep
17	female	Sep
22	female	Sep
27	female	Sep
14	female	Sep
25	female	Sep
21	female	Sep
21	female	Sep
10	female	Sep
23	female	Sep
27	female	Sep
48	female	Sep
17	female	Sep
26	female	Sep
40	female	Sep
27	female	Sep
25	female	Sep
30	female	Sep
55	female	Sep
27	female	Sep
21	female	Sep
22	female	Sep
52	female	Sep
15	female	Sep
38	female	Sep
55	female	Sep
10	female	Sep
54	female	Sep
78	female	Sep
46	female	Sep
27	female	Sep
54	female	Sep
26	female	Sep
40	female	Sep
