section	score
A1	62
A1	48
A1	28
A1	76
A1	88
A1	71
A1	45
A1	43
A1	25
A1	14
A2	50
A2	84
A2	46
A2	50
A2	75
A2	83
A2	26
A2	93
A2	67
A2	26
A3	58
A3	66
A3	97
A3	99
A3	85
A3	93
A3	78
A3	32
A3	41
A3	51
B1	42
B1	44
B1	52
B1	47
B1	56
B1	53
B1	50
B1	54
B1	46
B1	56
B2	51
B2	60
B2	64
B2	67
B2	65
B2	56
B2	55
B2	61
B2	58
B2	63
B3	74
B3	75
B3	77
B3	62
B3	66
B3	65
B3	70
B3	68
B3	68
B3	75
C1	60
C1	62
C1	51
C1	58
C1	52
C1	55
C1	66
C1	55
C1	60
C1	51
C2	55
C2	51
C2	60
C2	62
C2	62
C2	66
C2	58
C2	60
C2	58
C2	68
C3	67
C3	69
C3	62
C3	66
C3	56
C3	58
C3	58
C3	70
C3	60
C3	64
