location	temperature	region
Arroyo Grande	69	SLO county
Atascadero	85	SLO county
Avila Beach	67	SLO county
Cambria	69	SLO county
Cayucos	67	SLO county
Creston	91	SLO county
Grover Beach	66	SLO county
Los Osos	65	SLO county
Morro Bay	63	SLO county
Nipomo	72	SLO county
Oceano	65	SLO county
Paso Robles	95	SLO county
Pismo Beach	67	SLO county
San Luis Obispo	77	SLO county
Santa Margarita	88	SLO county
Shandon	96	SLO county
Templeton	87	SLO county
Alturas	90	California
Bakersfield	99	California
Barstow	105	California
Bishop	98	California
Eureka	62	California
Fresno	101	California
Lake Tahoe	82	California
Long Beach	80	California
Los Angeles	67	California
Marysville	95	California
Monterey	70	California
Needles	112	California
Oakland	75	California
Oxnard	64	California
Palm Springs	110	California
Red Bluff	96	California
Redding	95	California
Sacramento	92	California
Salinas	69	California
San Diego	72	California
San Francisco	75	California
San Jose	88	California
Santa Barbara	64	California
Santa Cruz	72	California
Santa Maria	75	California
Santa Rosa	87	California
Stockton	99	California
Yosemite	96	California
Albuquerque	89	United States
Anchorage	57	United States
Atlanta	93	United States
Bismark	86	United States
Boston	88	United States
Charlotte	100	United States
Cheyenne	71	United States
Chicago	83	United States
Clevelend	82	United States
Dallas	96	United States
Denver	76	United States
De Moines	86	United States
Detroit	82	United States
El Paso	94	United States
Hartford	89	United States
Helena	94	United States
Honolulu	86	United States
Houston	91	United States
Indianapolis	90	United States
Jacksonville	96	United States
Kansas City	91	United States
Las Vegas	107	United States
Little Rock	94	United States
Louisville	96	United States
Memphis	95	United States
Miami Beach	90	United States
Milwaukee	77	United States
Minneapolis	87	United States
Nashville	96	United States
New Orleans	90	United States
New York City	89	United States
Oklahoma City	97	United States
Orlando	94	United States
Philadelphia	94	United States
Phoenix	110	United States
"Portland, ME"	81	United States
"Portland, OR"	89	United States
Raleigh	102	United States
Reno	99	United States
St. Louis	96	United States
Salt Lake City	97	United States
San Antonio	95	United States
Santa Fe	84	United States
Seattle	84	United States
Sioux Falls	85	United States
Spokane	98	United States
Tampa	92	United States
Topeka	94	United States
Tucson	102	United States
Washington	97	United States
