Year	winner	Surface	condition	Starters	PolePosition	Time	speed
1875	Aristides	dirt	fast	15	1	157.75	34.23
1876	Vagrant	dirt	fast	11	4	158.35	34.1
1877	Baden-Baden	dirt	fast	11	5	158	34.18
1878	DayStar	dirt	dusty	9	1	157.25	34.34
1879	LordMurphy	dirt	fast	9	4	157	34.39
1880	Fonso	dirt	dusty	5	1	157.5	34.29
1881	Hindoo	dirt	fast	6	2	160	33.75
1882	Apollo	dirt	good	14	8	160.25	33.7
1883	Leonatus	dirt	heavy	7	2	163	33.13
1884	Buchanan	dirt	good	9	8	160.25	33.7
1885	JoeCotton	dirt	good	10	8	157.25	34.34
1886	BenAli	dirt	fast	10	4	156.5	34.5
1887	Montrose	dirt	fast	7	3	159.25	33.91
1888	MacbethII	dirt	fast	7	6	158.25	34.12
1889	Spokane	dirt	fast	8	3	154.5	34.95
1890	Riley	dirt	muddy	6	5	165	32.73
1891	Kingman	dirt	slow	4	4	172.25	31.35
1892	Azra	dirt	heavy	3	2	161.5	33.44
1893	Lookout	dirt	fast	6	2	159.25	33.91
1894	Chant	dirt	fast	5	2	161	33.54
1895	Halma	dirt	fast	4	1	157.5	34.29
1896	BenBrush	dirt	dusty	8	4	127.75	35.23
1897	typoonII	dirt	heavy	6	1	132.5	33.96
1898	Plaudit	dirt	good	4	3	129	34.88
1899	Manuel	dirt	fast	5	1	132	34.09
1900	Lieut.Gibson	dirt	fast	7	3	126.25	35.64
1901	HisEminence	dirt	fast	5	3	127.75	35.23
1902	Alan-a-Dale	dirt	fast	4	4	128.75	34.95
1903	JudgeHimes	dirt	fast	6	4	129	34.88
1904	Elwood	dirt	fast	5	3	128.5	35.02
1905	Agile	dirt	heavy	3	1	130.75	34.42
1906	SirHuon	dirt	fast	6	4	128.8	34.94
1907	PinkStar	dirt	heavy	6	6	132.6	33.94
1908	StoneStreet	dirt	heavy	8	4	135.2	33.28
1909	Wintergreen	dirt	slow	10	6	128.2	35.1
1910	Donau	dirt	fast	7	7	126.4	35.6
1911	Meridian	dirt	fast	7	5	125	36
