Team	AvgTicket	AvgTicketPricePctChange	Premimum	Beer	Beer_oz	SoftDrink	SD_oz	HotDog	Parking	Cap	FCI	FCIPctChange
BostonRedSox	61.71	0.00%	199.09	9.5	12	5.5	22	6	23.53	25	385.37	2.4
ChicagoCubs	56.83	-1.70%	250.69	10.49	16	5.99	20	6.49	26.61	20	364.83	0.1
HoustonAstros	58.61	2.10%	172.12	7.5	14	5.5	21	6	9.3	24.99	354.72	2
NewYorkYankees	61.59	4.70%	391.53	6	12	3	12	3	26.5	19.99	348.84	2.6
LosAngelesDodgers	50.19	7.10%	187.85	6.75	16	6.5	20	6.75	11.67	23.99	326.91	6.2
WashingtonNationals	48.95	3.10%	257.35	9.95	16	5.75	22	6.95	24.3	15	320.8	-5.2
SanFranciscoGiants	39.04	1.20%	118.17	9	12	6.5	16	7.5	28.2	25	308.36	3.6
TexasRangers	37.94	-0.30%	206.66	8	16	6.5	22	6.75	20.55	18	277.31	-3.2
ChicagoWhiteSox	34.43	9.70%	116.05	10.75	16	6	20	5	23.57	23.99	274.77	9.4
PhiladelphiaPhillies	36.06	0.00%	92.88	9.99	16	5	20	3	20.94	26	269.16	0.3
St.LouisCardinals	36.4	0.00%	91.28	5	12	6.5	21	5.25	18.6	21.99	265.18	2.1
OaklandAthletics	32.56	15.40%	66.64	7	12	5.5	16	6	25	21.99	259.22	7.7
NewYorkMets	28.73	4.10%	99.03	12	20	5.75	20	6.7	20.25	24.99	258.95	1.4
AtlantaBraves	34.76	9.40%	204.88	5	12	5.95	22	3.5	19	24.99	255.82	5.3
MilwaukeeBrewers	31.29	4.00%	56.92	9	16	6	20	6.75	13.74	21.99	251.88	5.1
KansasCityRoyals	35.16	4.00%	139.99	5.5	12	3	16	4	20	21.99	243.62	4
SanDiegoPadres	27.44	23.90%	114.54	5	12	6.5	22	7.5	14	23.99	237.74	12.8
SeattleMariners	35.22	0.00%	139.1	5	12	3	16	3	17.61	20	232.49	-9.8
TorontoBlueJays	32.03	3.00%	78.36	4.33	12	5.5	24	4.72	12.2	20.46	230.78	1.7
MinnesotaTwins	32.65	-0.40%	79.42	5	12	2	16	4	10.29	26	226.89	-1
ClevelandGuardians	30.53	-8.40%	79.08	5	12	3.75	12	4.5	12.75	20	217.87	-5.1
DetroitTigers	26.84	-5.00%	80.98	5	12	5	16	5.5	9.4	23.99	216.74	0.8
CincinnatiReds	24.25	-0.20%	87.82	6.49	14	6.49	24	5.99	10.48	21.99	214.36	-1.8
ColoradoRockies	25.51	-0.30%	55.05	3	12	5	26	6	12.88	21.99	208.9	-2.2
LosAngelesAngels	32.03	3.60%	164.57	4.5	12	5.75	24	6	10	6.99	208.1	7.5
BaltimoreOrioles	30.1	2.00%	53.26	10	16	2.5	12	3	10.66	15	203.06	-17.4
PittsburghPirates	25.46	8.90%	71.98	6.5	16	4.5	16	4	10.41	19.99	199.23	8.4
TampaBayRays	26.13	12.60%	112.65	5	12	5	22	5	12.5	12.5	192.02	6.8
MiamiMarlins	23.27	3.10%	184.61	5	12	3	24	3	15	21.99	186.06	6.6
ArizonaDiamondbacks	22.12	3.50%	62.99	4.99	14	2.99	12	2	13.9	9.99	152.3	5.6
2022MLBAverage	35.93	3.60%	133.85	6.87	13.7	5	19.2	5.13	16.79	20.83	256.41	1.9
