year	date(month)	date(day)	time(hrs)	time(mins)	time(ampm)	date	time(minsaftermidnight)	time(hrsaftermidnight)_1
1917	4	30	11	30	1	30	690	11.5000
1918	5	11	9	33	1	41	573	9.5500
1919	5	3	2	33	2	33	873	14.5500
1920	5	11	10	46	1	41	646	10.7667
1921	5	11	6	42	1	41	402	6.7000
1922	5	12	1	20	2	42	800	13.3333
1923	5	9	2	0	1	39	120	2.0000
1924	5	11	3	10	2	41	910	15.1667
1925	5	7	6	32	2	37	1112	18.5333
1926	4	26	4	3	2	26	963	16.0500
1927	5	13	5	42	1	43	342	5.7000
1928	5	6	4	25	2	36	985	16.4167
1929	5	5	3	41	2	35	941	15.6833
1930	5	8	7	3	2	38	1143	19.0500
1931	5	10	9	23	1	40	563	9.3833
1932	5	1	10	15	1	31	615	10.2500
1933	5	8	7	30	2	38	1170	19.5000
1934	4	30	2	7	2	30	847	14.1167
1935	5	15	1	32	2	45	812	13.5333
1936	4	30	12	58	2	30	778	12.9667
1937	5	12	8	4	2	42	1204	20.0667
1938	5	6	8	14	2	36	1214	20.2333
1939	4	29	1	26	2	29	806	13.4333
1940	4	20	3	27	2	20	927	15.4500
1941	5	3	1	50	1	33	110	1.8333
1942	4	30	1	28	2	30	808	13.4667
1943	4	28	7	22	2	28	1162	19.3667
1944	5	4	2	8	2	34	848	14.1333
1945	5	16	9	41	1	46	581	9.6833
1946	5	5	4	40	2	35	1000	16.6667
1947	5	3	5	53	2	33	1073	17.8833
1948	5	13	11	13	1	43	673	11.2167
1949	5	14	12	39	2	44	759	12.6500
1950	5	6	4	14	2	36	974	16.2333
1951	4	30	5	54	2	30	1074	17.9000
1952	5	12	5	4	2	42	1024	17.0667
1953	4	29	3	54	2	29	954	15.9000
1954	5	6	6	1	2	36	1081	18.0167
1955	5	9	2	13	2	39	853	14.2167
1956	5	1	11	24	2	31	1404	23.4000
1957	5	5	9	30	1	35	570	9.5000
1958	4	29	2	56	2	29	896	14.9333
1959	5	8	11	26	1	38	686	11.4333
1960	5	2	7	12	2	32	1152	19.2000
1961	5	5	11	31	1	35	691	11.5167
1962	5	12	11	23	2	42	1403	23.3833
1963	5	5	6	25	2	35	1105	18.4167
1964	5	20	11	41	1	50	701	11.6833
1965	5	7	7	1	2	37	1141	19.0167
1966	5	8	12	11	2	38	731	12.1833
1967	5	4	11	55	1	34	715	11.9167
1968	5	8	9	26	1	38	566	9.4333
1969	4	28	12	28	2	28	748	12.4667
1970	5	4	10	37	1	34	637	10.6167
1971	5	8	9	31	2	38	1291	21.5167
1972	5	10	11	56	1	40	716	11.9333
1973	5	4	11	59	1	34	719	11.9833
1974	5	6	3	44	2	36	944	15.7333
1975	5	10	1	49	2	40	829	13.8167
1976	5	2	10	51	1	32	651	10.8500
1977	5	6	12	46	2	36	766	12.7667
1978	4	30	3	18	2	30	918	15.3000
1979	4	30	6	16	2	30	1096	18.2667
1980	4	29	1	16	2	29	796	13.2667
1981	4	30	6	44	2	30	1124	18.7333
1982	5	10	5	36	2	40	1056	17.6000
1983	4	29	6	37	2	29	1117	18.6167
1984	5	9	3	33	2	39	933	15.5500
1985	5	11	2	36	2	41	876	14.6000
1986	5	8	10	50	1	38	650	10.8333
1987	5	5	3	11	2	35	911	15.1833
1988	4	27	9	15	1	27	555	9.2500
1989	5	1	8	14	2	31	1214	20.2333
1990	4	24	5	19	2	24	1039	17.3167
1991	5	1	12	4	1	31	4	0.0667
1992	5	14	6	26	1	44	386	6.4333
1993	4	23	1	1	2	23	781	13.0167
1994	4	29	11	1	2	29	1381	23.0167
1995	4	26	1	22	2	26	802	13.3667
1996	5	5	12	32	2	35	752	12.5333
1997	4	30	10	28	1	30	628	10.4667
1998	4	20	4	54	2	20	1014	16.9000
1999	4	29	9	47	2	29	1307	21.7833
2000	5	1	10	47	1	31	647	10.7833
2001	5	8	1	0	2	38	780	13.0000
2002	5	7	9	27	2	37	1287	21.4500
2003	4	29	6	22	2	29	1102	18.3667
2004	4	24	2	16	2	24	856	14.2667
