Gender	Push-Up	1 Mile Run Walk Time
Female	6	11:55
Female	4	11:37
Female	10	8:30
Female	8	10:25
Female	2	13:00
Female	23	10:35
Female	4	14:48
Male	12	11:44
Male	15	9:04
Male	21	7:32
Male	10	10:22
Male	12	9:44
Female	16	8:19
Female	8	12:56
Female	12	8:34
Male	18	8:51
Female	12	11:30
Female	4	13:37
Female	20	8:10
Male	8	16:24
Female	14	11:42
Male	15	10:38
Male	11	12:35
Male	20	7:29
Female	11	12:59
Male	20	7:40
Male	9	14:30
Female	7	11:00
Male	13	9:44
Male	8	10:16
Male	11	10:07
Male	21	7:27
Female	4	16:48
Female	11	8:59
Female	14	8:31
Male	30	9:22
Female	9	10:50
Male	17	10:30
Female	13	7:49
Female	10	10:50
Male	18	8:00
Male	20	7:58
Female	11	9:58
Female	6	8:29
Male	9	10:27
Female	3	13:37
Female	8	8:55
Male	2	9:29
Female	10	11:46
Male	12	11:46
Male	7	10:26
Female	13	9:58
Male	9	13:57
Female	6	9:09
Male	17	9:18
Female	10	8:57
Female	16	7:50
Female	20	7:05
Female	1	16:04
Male	13	8:13
Male	11	9:50
Female	12	9:44
Female	6	9:13
Male	12	11:24
Male	13	8:15
Female	8	9:30
Female	5	12:01
Female	9	13:51
Male	3	11:42
Female	15	7:00
Female	24	8:35
Female	10	10:04
Male	23	7:03
Male	25	6:39
Female	14	10:57
Female	3	14:48
Male	20	9:20
Female	11	14:00
Male	18	7:42
Male	22	8:01
Female	12	7:41
Female	20	8:28
Male	12	8:01
Female	10	9:49
Male	20	7:26
Male	20	10:42
Female	0	11:37
Male	20	9:29
Male	8	8:26
Male	14	10:00
Male	30	8:32
Male	20	8:19
Female	20	9:36
Female	20	9:39
Female	18	9:27
Male	15	9:40
Male	6	8:56
Female	10	12:27
Male	13	9:04
Male	0	12:47
Male	12	10:42
Male	4	15:02
Female	19	8:21
Male	7	12:04
Male	12	8:12
Male	37	7:43
Male	17	9:37
Female	10	8:57
Female	8	13:51
Female	4	13:47
Male	15	10:38
Male	24	7:55
Female	5	11:46
Female	6	12:36
Male	6	14:59
Female	13	9:32
Male	10	10:00
Female	10	11:02
Female	13	11:42
Female	13	11:42
Female	6	9:14
Female	9	8:29
Female	13	10:09
Male	20	10:27
Female	7	11:36
Male	8	11:55
Female	10	9:24
Female	5	14:20
Female	13	11:42
Female	9	10:43
Female	40	7:41
Male	4	11:20
Male	15	11:20
Female	25	8:14
Female	30	8:12
Male	20	10:16
Female	16	8:40
Female	23	9:27
Female	2	14:45
Male	33	8:14
Female	13	10:20
Female	17	11:35
Male	13	9:50
Male	20	9:50
Female	11	11:35
Male	14	6:34
Female	20	8:15
Male	25	9:45
Male	15	8:10
Female	22	7:55
Female	6	10:39
Female	8	14:47
Female	19	8:20
Male	17	10:56
Female	12	9:24
Male	11	12:35
Male	25	8:18
Female	8	13:47
Male	15	10:56
Male	20	8:24
Female	16	13:47
Male	14	10:30
Male	4	12:15
Female	11	9:40
Male	40	7:34
Male	8	13:15
Female	10	11:00
Female	3	15:00
Male	25	16:24
Female	7	15:10
Female	8	8:25
Female	15	8:05
Female	12	8:50
Male	26	7:09
Female	10	11:59
Female	9	9:40
