symbol	open	net change
A	22.4	0.07
AA	33.0	-0.75
AAE	24.3	-0.25
AAG PRT	24.5	-0.11
AAI	3.5	0.27
AAM	0.7	-0.08
AAR	20.0	-0.33
AAT	12.5	-0.01
ABB	8.4	0.06
ABC	63.6	0.56
ABF	10.3	-0.24
ABI	29.0	0.32
ABJ	24.8	0.14
ABK	48.5	-0.50
ABM	26.7	0.30
ABN	15.3	0.23
ABN PRA	25.5	-0.06
ABN PRB	25.1	0.00
ABS	31.4	0.41
ABT	53.5	-0.80
ABV	16.1	0.51
ABV C	0.0	0.00
ABX	15.8	-0.21
ABY	6.3	-0.17
AC	47.9	-0.35
ACA	24.9	-0.09
ACE	37.4	-1.56
ACE PRA	25.4	1.30
ACE PRB	24.0	0.25
ACE PRI	76.8	-0.13
ACF	16.2	-0.70
ACG	8.6	0.05
ACI	22.7	-0.61
ACK	2.8	0.03
ACN	17.4	0.22
ACO	5.7	-0.10
ACP	9.3	-0.14
ACP PR	7.2	-0.10
ACR	3.2	-0.05
ACS	90.6	-2.55
ACV	41.8	0.47
ACV A	36.2	0.50
ACX	2.4	0.20
AD	35.9	0.27
ADC	19.0	0.14
ADF	7.7	-0.15
ADI	37.0	2.30
ADM	13.5	0.51
ADO	10.9	0.35
ADP	51.0	0.66
ADS	15.5	0.39
ADX	14.9	0.03
AEC	8.5	0.19
AEC PRA	24.4	-0.05
AED	15.0	0.10
AEE	40.9	-0.10
AEF	25.6	-0.01
AEG	25.2	0.28
AEM	9.7	-0.08
AEP	42.3	-0.34
AES	14.1	0.11
AES PRC	32.9	0.01
AET	27.9	-0.07
AF	7.6	0.19
AFC	39.8	-0.77
AFF	7.2	0.03
AFG	22.1	-0.08
AFG PRT	24.5	0.05
AFL	25.1	-0.61
AG	11.2	0.41
AGA	0.2	-0.01
AGC PRA	26.2	0.15
AGC PRB	27.2	-0.01
AGE	39.8	0.14
AGI	1.5	0.04
AGL	8.8	0.45
AGM	42.1	1.80
AGM A	33.1	0.60
AGN	71.3	0.54
AGR A	5.0	-0.40
AGU	9.6	-0.13
AGU PR	22.4	0.28
AGY	29.0	-0.24
AH	24.0	0.29
AHC	61.0	-1.77
AHG	22.3	0.90
AHI	1.7	-0.05
AHM	43.6	0.50
AHO	27.9	0.50
AHP	57.5	-1.68
AHP PR	0.0	0.00
AHR	10.0	-0.04
AIB	19.5	-0.30
AIF	4.7	0.08
AIF PRT	17.0	-0.05
AIG	81.5	-2.84
AIN	19.5	0.25
AIQ	12.8	-0.56
AIR	7.8	-0.11
AIT	16.5	0.08
AIV	40.7	1.27
AIV PRC	24.4	0.14
AIV PRD	23.8	0.10
AIV PRG	24.6	-0.15
AIV PRH	24.8	-0.11
AIV PRK	25.5	0.20
AIV PRP	23.1	0.20
