adjusted	imdb_rating	MPAArating	audience_freshness	rt_audience_score	rt_freshness	rt_score	2015_inflation	Genre_1	Genre_2	Genre_3	length	rank_in_year	release_date	studio	title	worldwide_gross	year	poster_url
712903691.09	7.8	PG-13	92	4.3	89	7.5	-0.26%	Sci-Fi	Adventure	Action	136	7	4-Apr-14	Marvel Studios	Captain America: The Winter Soldier	"$714,766,572.00 "	2014	http://resizing.flixster.com/gxRJwetP1eNIrPR6xlWBfD_VaFc=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/72/11177246_ori.jpg
706988165.89	7.7	PG-13	89	4.2	90	7.9	-0.26%	Sci-Fi	Drama	Action	130	9	11-Jul-14	20th Century Fox	Dawn of the Planet of the Apes	"$708,835,589.00 "	2014	http://resizing.flixster.com/gDtbA1iPxTYEjBZeSsIYktCtUiw=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/91/11189194_ori.jpg
772158880.00	8.1	PG-13	93	4.4	91	7.7	-0.26%	Sci-Fi	Adventure	Action	121	3	1-Aug-14	Marvel Studios	Guardians of the Galaxy	"$774,176,600.00 "	2014	http://resizing.flixster.com/YrF_OeTQx3bXNsMLIy_NocjA4wI=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/80/11178082_ori.jpg
671220455.10	8.7	PG-13	86	4.2	72	7	-0.26%	Sci-Fi	Adventure		169	10	7-Nov-14	Paramount Pictures / Warner Bros.	Interstellar	"$672,974,414.00 "	2014	http://resizing.flixster.com/l9yjA-72sZMYECeOjx-r14mgXtU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/19/08/11190860_ori.jpg
756677675.77	7.1	PG	71	3.8	49	5.7	-0.26%	Family	Adventure	Action	97	4	30-May-14	Walt Disney Pictures	Maleficent	"$758,654,942.00 "	2014	http://resizing.flixster.com/YukULOFULUesVZccNjOZzF1YX30=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/12/11181292_ori.jpg
707732953.69	6.9	PG-13	66	3.7	53	5.9	-0.26%	Fantasy	Adventure	Action	142	8	2-May-14	Columbia Pictures	The Amazing Spider-Man 2	"$709,582,323.00 "	2014	http://resizing.flixster.com/uJRknhjV8s_CDr9Krj6hzk4GzYM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/00/11180032_ori.jpg
952624490.27	7.5	PG-13	76	3.9	61	6.3	-0.26%	Fantasy	Adventure		144	2	17-Dec-14	Warner Bros. / New Line Cinema / MGM	The Hobbit: The Battle of the Five Armies	"$955,113,783.00 "	2014	http://resizing.flixster.com/KK-V3xB7CY355XaejcerpzryvDs=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/97/11179703_ori.jpg
750140046.17	6.8	PG-13	73	3.8	65	6.3	-0.26%	Sci-Fi	Adventure		123	5	21-Nov-14	Lionsgate Films	The Hunger Games: Mockingjay - Part 1	"$752,100,229.00 "	2014	http://resizing.flixster.com/rrb4D1D8S1_ACJFg1qDpd6bY4cQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/98/11189899_ori.jpg
1088559994.68	5.8	PG-13	52	3.3	18	3.9	-0.26%	Sci-Fi	Adventure	Action	165	1	27-Jun-14	Paramount Pictures	Transformers: Age of Extinction	"$1,091,404,499.00 "	2014	http://resizing.flixster.com/jXWcxIKVUq4G-2vl7aClbKnOXr4=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/05/11180556_ori.jpg
746171720.76	8.1	PG-13	92	4.3	91	7.6	-0.26%	Sci-Fi	Adventure	Action	131	6	23-May-14	20th Century Fox	X-Men: Days of Future Past	"$748,121,534.00 "	2014	http://resizing.flixster.com/Oi1KcdBv_gG5Xqk84faEkayyX9E=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/08/11180875_ori.jpg
