STATE	increase	percent change
Alaska           	No        	-29
Connecticut      	No        	-4
Dist. of Columbia	No        	-80
Hawaii           	No        	-25
Indiana          	No        	-13
Kentucky         	No        	3
Louisiana        	No        	-5
Maine            	No        	-14
Minnesota        	No        	11
New Hampshire    	No        	-20
New Jersey       	No        	44
New York         	No        	-10
North Dakota     	No        	-50
Oregon           	No        	-16
South Carolina   	No        	32
Vermont          	No        	-41
Virginia         	No        	-9
West Virginia    	No        	23
Wisconsin        	No        	41
Arizona          	Yes       	0
California       	Yes       	4
Delaware         	Yes       	30
Illinois         	Yes       	9
Massachusetts    	Yes       	33
Montana          	Yes       	18
Nevada           	Yes       	18
Oklahoma         	Yes       	34
Pennsylvania     	Yes       	-7
Texas            	Yes       	15
Wyoming          	Yes       	-32
Alabama          	Yes       	25
Arkansas         	Yes       	41
Colorado         	Yes       	-19
Florida          	Yes       	8
Georgia          	Yes       	32
Idaho            	Yes       	-18
Iowa             	Yes       	41
Kansas           	Yes       	-13
Maryland         	Yes       	-2
Michigan         	Yes       	-8
Mississippi      	Yes       	18
Missouri         	Yes       	51
Nebraska         	Yes       	63
New Mexico       	Yes       	3
North Carolina   	Yes       	5
Ohio             	Yes       	2
Rhode Island     	Yes       	18
South Dakota     	Yes       	22
Tennessee        	Yes       	4
Utah             	Yes       	9
Washington       	Yes       	34
