model	year	mileage	price	type	age
Civic	2006	120451	11900	Si	10
Civic	2012	21136	16000	LX	4
Civic	2012	38422	17300	EX	4
Civic	2015	120	20200	LX	1
Civic	2012	38353	15100	LX	4
Civic	2012	56201	16900	Hybrid	4
Civic	2011	41283	13000	LX	5
Civic	2013	35370	16200	EX	3
Civic	2012	39097	17300	Hybrid	4
Civic	2008	76042	11000	EX	8
Civic	2009	72204	11500	LX	7
Civic	2012	27513	14995	LX	4
Civic	2013	19667	16495	LX	3
Civic	2012	24804	16495	EX	4
Civic	2014	13377	16995	LX	2
Civic	2014	14217	18495	EX	2
Civic	2012	57309	13495	LX	4
Civic	2013	15970	16995	LX	3
Civic	2012	52115	14999	EX	4
Civic	2014	39494	16995	LX	2
Civic	2015	7318	20495	EX	1
Civic	2014	12400	16995	LX	2
Accord	2009	44824	16800	EX	7
Accord	2010	45759	18400	EX	6
Accord	2012	30954	18300	SE	4
Accord	2012	44849	18400	SE	4
Accord	2014	9809	21800	LX	2
Accord	2008	106402	12000	EX	8
Accord	2012	72922	15000	EX	4
Accord	2012	53368	17900	SE	4
Accord	2012	36425	16900	LX	4
Accord	2013	21041	19400	LX	3
Accord	2012	32676	16900	SE	4
Accord	2015	2774	30500	Touring	1
Accord	2002	101893	7000	EX	14
Accord	2015	12981	20995	LX	1
Accord	2015	1155	21995	LX	1
Accord	2014	8047	22987	EX	2
Accord	2012	47604	15991	LX	4
Accord	2012	49217	15999	LX	4
Accord	2014	42234	18699	LX	2
Accord	2013	35095	18991	LX	3
Accord	2014	16233	19495	LX	2
Accord	2013	20198	20991	Sport	3
Accord	2014	24696	21995	Sedan	2
