memorized	treatment		long, abstract	long, concrete	short, abstract	short, concrete	long/short	abstract/concrete
10	shortconcrete		9	5	8	10	short	concrete
9	shortconcrete		9	8	5	9	short	concrete
5	longconcrete		6	10	6	7	long	concrete
8	longconcrete		7	5	8	9	long	concrete
10	longconcrete		4	8	9	8	long	concrete
8	shortabstract		7	9	8	10	short	abstract
5	shortabstract		6	7	9	10	short	abstract
9	longabstract		7	8	8	8	long	abstract
9	longabstract		6	9	5	6	long	abstract
7	shortconcrete		7	8	8	9	short	concrete
9	shortconcrete		9	8	9	9	short	concrete
5	longconcrete		6	9	6	10	long	concrete
8	longconcrete		9	10	6	9	long	concrete
6	shortabstract		*	*	*	*	short	abstract
8	shortabstract		*	*	*	*	short	abstract
6	longabstract		*	*	*	*	long	abstract
7	longabstract		*	*	*	*	long	abstract
8	shortconcrete		*	*	*	*	short	concrete
10	shortconcrete		*	*	*	*	short	concrete
9	longconcrete		*	*	*	*	long	concrete
7	longconcrete		*	*	*	*	long	concrete
9	shortabstract		*	*	*	*	short	abstract
8	shortabstract		*	*	*	*	short	abstract
4	longabstract		*	*	*	*	long	abstract
7	longabstract		*	*	*	*	long	abstract
10	shortconcrete		*	*	*	*	short	concrete
8	shortconcrete		*	*	*	*	short	concrete
8	longconcrete		*	*	*	*	long	concrete
9	longconcrete		*	*	*	*	long	concrete
9	shortabstract		*	*	*	*	short	abstract
8	shortabstract		*	*	*	*	short	abstract
6	longabstract		*	*	*	*	long	abstract
7	longabstract		*	*	*	*	long	abstract
6	shortconcrete		*	*	*	*	short	concrete
9	shortconcrete		*	*	*	*	short	concrete
8	longconcrete		*	*	*	*	long	concrete
8	longconcrete		*	*	*	*	long	concrete
5	shortabstract		*	*	*	*	short	abstract
8	shortabstract		*	*	*	*	short	abstract
6	longabstract		*	*	*	*	long	abstract
7	longabstract		*	*	*	*	long	abstract
9	longabstract		*	*	*	*	long	abstract
9	shortconcrete		*	*	*	*	short	concrete
10	shortconcrete		*	*	*	*	short	concrete
9	longconcrete		*	*	*	*	long	concrete
10	longconcrete		*	*	*	*	long	concrete
9	shortabstract		*	*	*	*	short	abstract
6	shortabstract		*	*	*	*	short	abstract
6	longabstract		*	*	*	*	long	abstract
9	longabstract		*	*	*	*	long	abstract
6	shortabstract		*	*	*	*	short	abstract
9	shortconcrete		*	*	*	*	short	concrete
