day	appraisal	start price	sell price
1	480	190	200
1	400	150	150
1	580	220	250
1	1100	700	700
1	400	150	160
1	300	100	100
1	500	200	200
1	3100	1800	1900
1	920	395	395
1	500	220	220
1	900	350	*
1	4100	2300	2300
1	400	180	190
1	400	140	170
1	400	170	170
1	580	150	150
1	2900	1800	1800
1	2100	900	1000
1	500	190	190
1	480	170	*
1	850	275	275
1	480	180	180
1	3100	700	700
1	4100	2200	2200
1	900	500	500
1	400	190	*
1	800	190	190
1	900	180	180
1	1200	275	*
1	800	*	70
1	12000	6500	*
1	1900	900	900
1	400	150	*
1	500	280	290
1	690	275	275
1	600	190	*
1	3900	1800	1800
1	480	80	80
1	800	150	150
1	1900	280	280
1	500	*	60
1	300	195	*
1	680	340	360
1	900	370	380
1	600	190	190
1	5800	2900	*
1	900	190	190
1	1500	300	310
1	1100	290	290
1	3500	800	*
1	2200	995	*
1	1500	475	475
1	450	180	190
1	2500	1800	1800
1	3500	1800	*
1	1700	350	360
1	380	190	210
1	2300	1600	1700
1	600	190	190
1	1100	210	*
1	250	*	85
1	900	190	190
1	9900	6800	*
2	590	250	250
2	400	190	210
2	600	230	230
2	680	275	275
2	850	440	*
2	500	180	200
2	400	150	160
2	400	180	180
2	1100	420	430
2	2200	1100	1100
2	900	420	*
2	490	180	190
2	400	90	90
2	500	90	90
2	1100	270	270
2	2200	1100	1100
2	900	120	120
2	680	250	250
2	3200	1700	*
2	2200	570	580
2	3900	2200	2300
2	600	210	220
2	600	170	170
2	4500	1500	*
2	3000	700	700
2	1900	695	695
2	400	180	*
2	400	180	190
2	2900	1200	1200
2	3200	1600	*
2	680	280	280
2	800	270	300
2	600	320	*
2	6300	3300	3300
2	800	*	60
2	680	190	190
2	4300	2300	2300
2	6200	3200	3300
2	1900	645	645
2	48000	30000	*
2	300	170	180
2	580	220	220
2	400	180	180
2	800	250	*
2	400	80	80
2	400	70	70
2	400	80	80
2	600	275	275
2	400	60	60
2	680	130	140
2	400	90	90
2	7800	4200	*
2	13000	6300	6300
2	500	100	100
2	500	190	190
2	1600	350	*
2	600	220	220
2	800	*	40
2	400	130	130
2	700	300	300
2	780	275	275
2	5200	4000	4000
2	1600	675	*
2	380	180	180
2	400	170	170
2	900	200	200
2	1200	220	220
2	38000	21000	*
2	980	330	*
3	400	160	170
3	400	180	180
3	400	120	120
3	480	90	90
3	800	130	130
3	400	180	180
3	8500	4700	4700
3	600	140	140
3	680	150	150
3	400	*	40
3	890	395	*
3	890	500	510
3	3900	2200	*
3	3100	1500	1500
3	680	180	200
3	400	180	180
3	480	190	*
3	400	90	90
3	1500	580	580
3	2900	1400	1400
3	380	180	180
3	400	170	170
3	800	280	*
3	500	120	120
3	900	150	150
3	2950	1500	1500
3	16800	10500	*
3	6900	4000	4000
3	400	90	90
3	800	190	190
3	980	180	180
3	600	*	40
3	680	120	120
3	1200	220	220
3	980	475	500
3	2200	1400	*
3	580	160	160
3	480	*	40
3	3500	1900	1900
3	680	280	280
3	480	280	320
3	580	220	*
3	980	400	420
3	480	190	*
3	600	275	*
3	1100	250	250
3	800	330	*
3	3900	1400	*
3	400	*	60
3	600	120	120
3	4500	2000	2000
3	800	370	370
3	600	190	190
3	500	180	*
3	600	250	290
3	1200	580	*
3	980	375	375
3	600	200	200
3	6900	4000	4000
3	400	190	190
3	700	*	60
3	1200	120	120
3	6000	3500	3500
3	1300	600	600
3	680	340	350
3	1100	480	*
3	600	270	270
3	4500	2800	3000
3	1800	580	590
3	900	350	*
3	6900	3500	3600
3	480	180	*
3	980	190	190
3	600	180	180
3	1300	470	470
3	580	180	180
3	1400	200	200
4	480	190	190
4	400	150	150
4	500	180	200
4	400	180	190
4	300	*	50
4	500	70	90
4	3200	2100	2100
4	500	180	*
4	580	190	200
4	1100	375	375
4	3300	1900	1900
4	980	370	370
4	800	275	*
4	600	120	120
4	500	150	150
4	400	150	160
4	400	130	*
4	2300	810	810
4	5900	3000	3100
4	6900	4100	4100
4	890	300	300
4	600	100	100
4	900	160	160
4	600	150	150
4	2800	955	955
4	3900	1700	*
4	3200	1900	1900
4	700	150	150
4	1100	220	220
4	950	150	150
4	600	180	200
4	400	160	160
4	2200	1200	1200
4	6900	4200	*
4	700	250	250
4	1900	275	*
4	700	270	*
4	2900	475	475
4	19000	9500	*
4	3500	1500	*
4	800	*	70
4	500	190	*
4	6100	3200	*
4	700	320	*
4	4950	2200	*
4	1100	230	270
4	900	240	240
4	600	200	200
4	3500	1900	1900
4	3900	1700	*
4	500	190	190
4	500	170	*
4	400	180	180
4	600	250	*
4	2200	1200	1300
4	900	500	500
4	500	210	210
4	500	280	290
4	3100	1800	1800
4	2900	2100	2100
4	800	250	*
4	680	250	*
4	400	170	*
4	2200	895	*
4	500	*	40
4	400	70	80
4	900	140	140
4	400	150	150
4	600	120	120
4	800	240	240
4	1300	275	275
4	600	*	60
4	3100	1900	1900
