backpack weight	body weight	ratio	Major	Year	Back problems	Sex	UG/G	Units
9	125	0.072000	Bio	3	Yes	Female	U	13
8	195	0.041026	Philosophy	5	No	Male	U	12
10	120	0.083333	GRC	4	Yes	Female	U	14
6	155	0.038710	CSC	6	No	Male	G	0
8	180	0.044444	EE	2	No	Female	U	14
5	240	0.020833	History	0	No	Male	G	0
8	170	0.047059	CM	3	No	Male	U	15
4	185	0.021622	ARCE	5	Yes	Female	U	18
5	130	0.038462	Bio	4	No	Female	U	14
2	120	0.016667	Bio	5	No	Female	U	8
8	135	0.059259	Bus	3	No	Female	U	15
21	160	0.131250	ME	5	No	Male	U	12
11	170	0.064706	CPE	4	No	Male	U	16
11	170	0.064706	CPE	4	Yes	Male	U	16
12	125	0.096000	CS	3	Yes	Female	U	12
11	175	0.062857	CPE	4	No	Male	U	16
13	145	0.089655	Bio	4	Yes	Female	U	16
6	105	0.057143	LS	3	No	Female	U	16
10	125	0.080000	LS	3	Yes	Female	U	17
5	165	0.030303	Bio	3	No	Male	U	14
20	170	0.117647	CSC	2	No	Male	U	16
14	117	0.119658	EE	2	Yes	Female	U	12
11	145	0.075862	CE	5	No	Male	U	14
15	205	0.073171	Bio	5	No	Female	U	12
10	270	0.037037	AGB	3	No	Male	U	12
18	160	0.112500	Mate	1	Yes	Male	U	13
8	150	0.053333	AGB	4	No	Male	U	16
5	140	0.035714	Poli Sci	2	No	Female	U	16
25	190	0.131579	Aero Eng.	2	No	Male	U	14
6	165	0.036364	Soc. Sci.	1	Yes	Female	U	15
10	145	0.068966	GRC	1	Yes	Female	U	14
15	120	0.125000	MLL	3	Yes	Female	U	16
9	135	0.066667	LS	6	No	Female	G	14
7	145	0.048276	CPE	6	No	Male	U	11
14	165	0.084848	Math	5	Yes	Female	U	12
17	145	0.117241	Psych	4	No	Female	U	13
14	140	0.100000	ARCE	2	No	Female	U	15
11	160	0.068750	EE	4	No	Male	U	15
4	155	0.025806	IT	3	No	Male	U	16
8	143	0.055944	Psy	2	No	Female	U	17
8	145	0.055172	AGB	4	Yes	Female	U	16
13	135	0.096296	SOCS	3	Yes	Female	U	16
10	130	0.076923	Nut.	3	No	Female	U	16
15	165	0.090909	Math	4	Yes	Female	U	12
10	140	0.071429	LS	1	No	Female	U	14
5	115	0.043478	Soc. Sci.	1	No	Female	U	13
6	128	0.046875	Bus	1	No	Female	U	14
5	150	0.033333	SPC	2	No	Female	U	14
13	220	0.059091	CE	2	No	Male	U	13
10	150	0.066667	CD	3	No	Female	U	16
19	170	0.111765	ME	5	No	Male	U	12
8	155	0.051613	Econ	2	No	Male	U	12
21	116	0.181034	Vocal Music	4	No	Female	U	16
16	190	0.084211	Bus	2	No	Male	U	14
13	145	0.089655	Bio	4	No	Female	U	16
17	144	0.118056	Bio	2	Yes	Female	U	13
10	130	0.076923	Kine	2	No	Female	U	15
5	185	0.027027	Psych	4	Yes	Male	U	15
9	140	0.064286	Kine	3	No	Female	U	16
13	125	0.104000	Math	2	No	Female	U	17
10	175	0.057143	Act.	2	No	Male	U	19
10	150	0.066667	Nutrition	4	No	Female	U	12
11	180	0.061111	Kine	4	Yes	Male	U	18
8	140	0.057143	Poli Sci	3	Yes	Female	U	12
12	220	0.054545	EE	1	No	Male	U	14
35	195	0.179487	Aero	5	No	Male	U	12
12	127	0.094488	Phys	5	Yes	Female	U	16
14	150	0.093333	Kine	3	No	Female	U	16
2	125	0.016000	IT	5	No	Male	U	15
5	125	0.040000	ARCE	2	Yes	Female	U	16
6	180	0.033333	ME	4	No	Male	U	15
20	180	0.111111	CPE	1	Yes	Male	U	13
14	150	0.093333	Aero	2	No	Male	U	14
14	125	0.112000	Pols	2	No	Female	U	17
8	160	0.050000	ME	2	No	Male	U	13
25	144	0.173611	LS	3	No	Female	U	17
2	105	0.019048	IE	6	No	Female	U	15
8	125	0.064000	Pols	5	Yes	Female	U	16
15	130	0.115385	Bus	3	Yes	Female	U	16
10	120	0.083333	AGB	4	No	Female	U	16
25	175	0.142857	CE	4	Yes	Female	U	15
24	145	0.165517	Bus	3	Yes	Female	U	16
5	115	0.043478	ME	3	Yes	Female	U	14
10	110	0.090909	CE	2	No	Female	U	16
19	130	0.146154	LS	5	Yes	Female	U	16
13	135	0.096296	LS	4	No	Female	U	16
9	128	0.070313	Aero	1	No	Female	U	16
14	135	0.103704	ARCE	4	No	Male	U	13
20	170	0.117647	Bus	3	Yes	Male	U	18
16	175	0.091429	Bio	3	No	Male	U	12
18	150	0.120000	IT	6	No	Male	U	17
18	160	0.112500	MFGE	3	Yes	Male	U	13
11	168	0.065476	Bus	3	Yes	Male	U	16
13	155	0.083871	Psy	4	No	Male	U	14
15	210	0.071429	Arch	3	No	Male	U	17
14	165	0.084848	ME	3	No	Male	U	11
6	195	0.030769	APIO	1	No	Male	U	16
11	130	0.084615	Bus	1	No	Male	U	12
9	140	0.064286	AERO	3	No	Male	U	12
15	170	0.088235	History	5	No	Male	U	14
