Opened	Height	Drop	Length	Type
1991	56	47	635	Steel
1997	195	170	3828	Steel
1981	127	147	4650	Wooden
1991	128	144	2700	Steel
1999	170	210	4882	Steel
2000	95	92	3340	Wooden
1998	200	139	1137	Steel
1998	200	105	1229	Steel
2000	157	148	4210	Steel
1993	90	85	2300	Steel
2003	105	80	2693	Steel
1979	110	141	7400	Wooden
2002	32	41	2349	Steel
1984	100	80	2800	Steel
1964	78	72	2558	Wooden
2000	122	150	5051	Wooden
1967	70	70	2272	Wooden
1993	94	66	2423	Steel
1997	154	144	4155	Steel
2001	92	90	2680	Wooden
1935	55	52	2650	Wooden
1978	125	115	4325	Wooden
1994	95	87	4197	Wooden
1946	84	78	3360	Wooden
1951	37	25	1300	Wooden
1990	70	62	1250	Steel
1940	90	89	2800	Wooden
1997	65	60	2300	Wooden
1995	70	75	1900	Wooden
2001	192	177	1204	Steel
2001	192	177	1204	Steel
1976	102	90	2130	Steel
1976	102	90	2130	Steel
1994	209	225	5843	Steel
1993	56	47	635	Steel
1991	90	85	2250	Steel
1999	125	115	3200	Steel
1999	125	95	3200	Steel
1989	100	105	2415	Steel
1998	100	82	2700	Wooden
1999	161	138	1014	Steel
1978	125	118	3935	Steel
1990	95	79	2970	Wooden
1999	107	101	3000	Steel
1998	118	108	4533	Wooden
1924	70	65	2640	Wooden
2000	235	255	4500	Steel
1989	173	155	3800	Steel
1973	105	89	3450	Wooden
1998	90	124	2800	Steel
1995	115	95	2170	Steel
1996	110	100	3300	Wooden
1997	108	81	2562	Steel
1955	18	12	200	Steel
2000	102	100	3800	Wooden
2001	165	133	1560	Steel
1999	110	105	3700	Steel
1998	161	138	1014	Steel
1990	100	90	2900	Steel
1921	40	70	2132	Wooden
1995	65	45	2602	Steel
1980	71	65	2670	Wooden
2000	149	144	4177	Steel
1993	143	135	3978	Steel
1999	41	9	1452	Wooden
1978	130	114	3240	Steel
1989	205	195	5106	Steel
1998	205	205	5600	Steel
1997	203	144	4777	Steel
1996	145	137	3900	Steel
1991	161	155	5427	Wooden
2000	150	150	3937	Steel
1999	142	132	3985	Steel
2000	310	300	6595	Steel
1996	150	128	3983	Steel
2002	80	75	2750	Wooden
2001	230	215	5394	Steel
2001	160	228	3200	Steel
1985	78	72	3200	Wooden
1999	202	208	5057	Steel
2003	120	102	3500	Wooden
1994	137	119	3790	Steel
1992	180	124	5080	Wooden
1995	80	110	2731	Wooden
1979	70	65	1565	Steel
2002	52	50	1340	Steel
1998	156	146	4370	Steel
1971	32	41	2500	Steel
2003	150	141	3985	Steel
1995	90	80	2600	Steel
1976	110	92	3872	Wooden
1995	56	47	635	Steel
1979	83	75	1942	Steel
1987	60	45	2400	Wooden
2000	218	214	7032	Wooden
1963	70	76	2640	Wooden
1999	150	150	3700	Steel
1997	200	205	5600	Steel
2003	185	175	630	Steel
2000	208	221	5400	Steel
1999	208	205	5400	Steel
2000	200	190	5350	Steel
2003	115	109	2798	Steel
2002	115	100	2760	Steel
2003	115	100	2759	Steel
1997	415	328	1235	Steel
1963	75	65	2400	Wooden
2001	135	120	3110	Steel
1999	163	128	2682	Steel
1976	93	80	3180	Wooden
1990	143	137	4920	Wooden
1924	70	95	2887	Wooden
1923	80	65	2767	Wooden
1989	100	95	4230	Wooden
2001	245	255	5312	Steel
1993	102	91	2260	Steel
2003	420	400	2800	Steel
1999	100	103	3000	Wooden
1999	102	90	3900	Wooden
1999	161	138	1014	Steel
1990	97	92	1421	Steel
1998	43	56	1300	Steel
1990	188	171	3830	Steel
1995	100	80	3458	Wooden
1982	121	75	3100	Steel
1998	155	80	2757	Steel
1987	148	138	3800	Steel
1993	64	48	1200	Steel
1976	70	64	3100	Steel
1986	98	88	4000	Wooden
1996	207	196	5460	Steel
1996	90	85	3183	Wooden
1927	85	78	2746	Wooden
1991	75	65	2653	Wooden
2001	120	155	3073	Steel
2002	175	215	3610	Steel
1997	90	85	2900	Wooden
1915	70	70	2865	Wooden
2003	115	98	3675	Steel
