Species	Distance
African	6.12
African	3.65
African	4.26
African	3.8
African	5.23
African	5.02
African	5.17
African	5.37
African	4.89
African	6.4
African	6.42
African	6.85
African	3.38
African	7.71
African	4.02
African	3.52
African	5.81
African	5.83
African	7.02
African	6.11
African	4.62
African	5.54
African	3.2
African	5.49
African	5.47
African	6.97
African	3.74
African	3.04
African	7.84
African	8.62
African	7.63
African	5.25
African	4.19
Asian	1.39
Asian	2.59
Asian	8.03
Asian	7.93
Asian	0.33
Asian	8.22
Asian	6.95
Asian	2.39
Asian	3.89
Asian	10.53
Asian	7.57
Asian	1.8
Asian	1.3
Asian	0.6
Asian	9.9
Asian	5.66
Asian	4.15
Asian	9.84
Asian	2.58
Asian	8.83
Asian	3.68
Asian	9.95
Asian	3.8
