player	Avg Score	last round	rounds	greens%	events	money	putts	driving	avg putts	birdie average	holes per eagle	birdie conversion	par breaker	driving accuracy					
Vijay Singh	68.78	70	22	57.7	5	2078140	639	293.5	1.753	5.05	132	35.5	28.8	62.4					
Phil Mickelson	69.01	70	21	64.4	5	1781100	590	291.5	1.702	5.29	378	39.3	29.6	62.5					
Duffy Waldorf	69.31	71.5	17	68.8	7	517958	482	286.3	1.722	4.65	306	33	26.1	63.1					
Scott Verplank	69.44	70	13	63.6	2	791450	358	273	1.637	5.92	93.6	43.9	32.9	75					
Retief Goosen	69.46	68.8	21	64.3	4	924375	597	293.5	1.696	4.86	189	36.6	27.5	66.2					
Stuart Appleby	69.54	73.5	14	62.2	2	1499730	409	296	1.739	4.79	84	35.3	27.8	59.5					
Sergio Garcia	69.64	71	12	63.6	4	249446	364	300.5	1.801	4.08	216	29.5	23.1	57.7					
Robert Allenby	69.66	73	16	64	5	445511	470	298.5	1.746	4.38	132	34.1	24.3	62.9					
Davis Love III	69.67	77	15	69.1	5	1721400	439	294	1.774	4	90	30.4	23.3	58.7					
Tiger Woods	69.73	70.67	12	62	5	1796854	354	304.7	1.701	5.5	108	42.7	31.5	58.7					
Jeff Maggert	69.85	70.6	13	66.9	8	682800	388	275.1	1.789	4.15	225	29.7	23.1	77.9					
Mike Weir	69.95	71.6	21	65.2	4	1446867	603	278.1	1.72	4.71	126	34.7	27	72.2					
Chris Riley	69.97	72.5	23	71	7	722198	629	275.1	1.691	4.39	207	35.1	24.9	56.6					
Jay Haas	69.99	72	21	67.1	1	517703	589	280.1	1.717	4.29	94.5	33.1	24.9	65.8					
Luke Donald	70.04	72.33	22	65.8	2	613099	654	277.4	1.801	3.68	396	26.8	20.7	66.1					
Kirk Triplett	70.15	72.5	19	65.9	5	576343	548	270.3	1.731	4.47	171	31.8	25.4	78.3					
Stephen Ames	70.16	68.6	27	63.1	6	357468	784	290.2	1.738	4.41	162	33.7	25.1	63.8					
Stewart Cink	70.16	71	21	62.2	3	361703	592	288.7	1.692	4.19	94.5	32.8	24.3	56.5					
David Toms	70.18	71.83	10	69.1	4	329625	293	276.8	1.742	4.6	234	32.6	25.6	65					
K.J. Choi	70.21	69	18	66.2	2	477164	523	282.7	1.75	3.72	108	31.3	21.6	63.3					
Jonathan Kaye	70.23	72.25	23	66.4	2	1356470	664	290	1.752	4.78	138	34.8	27.3	67.3					
Shigeki Maruyama	70.23	69.5	24	63.3	6	954339	694	282.1	1.745	4	108	31	22.2	66.8					
Harrison Frazar	70.32	72.33	20	67.8	1	778543	562	292.9	1.702	4.4	51.4	36.3	26.4	65.3					
Chris DiMarco	70.33	72	20	71	6	831142	581	279.2	1.74	4.35	180	31.4	24.7	69.5					
Paul Azinger	70.34	70.75	23	64.4	1	267908	622	283.8	1.651	4.57	207	40.3	25.8	57.8					
Jesper Parnevik	70.35	73	33	66.7	2	668524	936	285.2	1.754	4	594	31.8	22.4	58.2					
Corey Pavin	70.38	75.67	21	70.9	5	273380	588	265	1.728	3.62	75.6	30.1	21.4	69.8					
Loren Roberts	70.44	70.5	17	65.8	6	261532	467	260	1.728	4	138	30.8	22.2	68.9					
Woody Austin	70.45	74.4	26	57.3	1	356934	767	283.6	1.781	3.77	468	29.4	21.2	58.7					
Kent Jones	70.47	74.33	21	65.9	1	272028	620	283.5	1.776	3.95	189	30	22.5	71.8					
Fredrik Jacobson	70.49	69.5	21	68.4	5	482069	602	288.4	1.747	3.9	94.5	32.9	22.8	51.4					
Tom Lehman	70.53	73.67	24	60.6	1	190879	712	284	1.794	3.58	144	27.5	20.6	67.2					
Jerry Kelly	70.54	72	21	66.9	2	483880	594	273.3	1.762	3.95	189	30.7	22.5	68.4					
"Tom Pernice, Jr."	70.54	70	25	60.1	4	387291	724	281.4	1.759	3.96	144	30.5	22	61.1					
Steve Flesch	70.6	68.33	27	62.8	1	647684	792	280	1.761	4.11	198	30.7	22.8	66.3					
Joe Durant	70.65	69.2	25	66.7	1	372872	747	284	1.769	3.84	150	28.8	22	74.1					
Mark Hensby	70.65	70.83	23	65.4	1	432772	656	278.5	1.732	4.26	207	34.9	24.2	68.4					
John Daly	70.66	73.33	21	66.7	2	1139646	591	303.8	1.688	4.62	75.6	37.8	27	57.2					
Tim Herron	70.69	72	21	61.6	1	145071	623	290.2	1.779	3.76	94.5	29	22	61					
Rod Pampling	70.7	70.17	28	63.9	5	309221	800	291.8	1.755	4.07	252	32.1	23	58.9					
Heath Slocum	70.78	70.75	26	67.5	8	715032	767	279.3	1.772	3.96	234	29.5	22.4	70					
Hidemichi Tanaka	70.79	74	20	67.5	4	107582	582	275.1	1.763	3.65	180	31.5	20.8	71.1					
Todd Hamilton	70.8	71	20	61.4	3	1036927	575	276	1.754	3.65	180	29.4	20.8	58.4					
Shaun Micheel	70.92	75	18	63.5	6	361815	536	285.2	1.813	3.94	108	28.8	22.8	60.9					
Justin Leonard	70.97	70	21	66.3	6	360788	608	284.8	1.768	4.05	378	30.5	22.8	68.2					
John Riegger	70.97	69	27	66.4	6	287253	789	286.5	1.747	3.74	162	30.5	21.4	62					
Kevin Sutherland	70.97	74.8	23	65.9	3	184426	680	282.7	1.823	3.35	207	25.6	19.1	72.4					
Tim Clark	70.99	70.5	16	61.9	2	203600	450	277.1	1.703	4.19	108	35.1	23.3	68.3					
Stephen Leaney	71.03	68	13	63.1	1	503035	379	285	1.783	3.77	117	29.5	21.8	67.2					
Zach Johnson	71.07	71.25	25	56.3	5	173156	724	278.7	1.737	3.96	225	31.8	22.4	68.9					
Jeff Sluman	71.07	70	19	66.9	4	174890	532	278.7	1.736	4	114	32.2	23.1	61.7					
Rory Sabbatini	71.09	71.63	26	63.7	1	487640	772	289.4	1.806	4.08	234	31.9	23.1	58.9					
Neal Lancaster	71.1	73	25	65.2	2	198676	716	287.6	1.758	3.72	75	31.6	22	56.5					
Ted Purdy	71.11	68	26	62	2	169691	763	283.8	1.794	3.65	156	29.1	20.9	61.4					
Robert Gamez	71.12	72.5	21	64	3	122500	589	282	1.702	4.48	378	35.6	25.1	65.6					
Paul Stankowski	71.15	72	21	64.4	6	108422	611	288.6	1.806	3.52	94.5	28.9	20.6	60.5					
Mark Calcavecchia	71.18	70.8	21	65.5	2	221923	606	288.1	1.737	4.38	126	32.6	25.1	63.9					
Lee Janzen	71.21	71.75	23	65.9	6	193697	659	282.1	1.745	4.04	138	32.4	23.2	58.1					
Tim Petrovic	71.21	74	25	61.5	6	148161	724	282.4	1.774	3.72	225	30.1	21.1	63.4					
Peter Jacobsen	71.24	69	19	64.4	5	207401	560	269	1.768	3.84	342	29.4	21.6	74.5					
Scott McCarron	71.29	70.5	23	63.7	2	214893	662	290.6	1.771	3.83	93.6	31	21.3	64.6					
Mark O'Meara	71.29	70.67	20	65.4	5	443289	563	273.8	1.722	4.05	360	32.9	22.8	70					
Rocco Mediate	71.35	70.5	12	64	7	104750	353	278.5	1.724	4.08	72	33.1	24.1	75.8					
Niclas Fasth	71.39	69.75	16	65.1	1	153827	454	289.3	1.746	3.5	288	31.6	19.8	55.2					
Todd Fischer	71.4	70.25	29	61.4	4	210091	823	276.2	1.766	3.76	261	30	21.3	59.8					
Notah Begay III	71.42	75	25	65.1	6	112958	730	277.7	1.752	4.04	450	32.3	22.7	70.4					
Steve Elkington	71.44	70.75	22	62.9	6	73865	649	276.5	1.779	3.86	198	28.8	22	64.6					
Vaughn Taylor	71.5	68	17	58.7	7	62448	500	289	1.795	4.24	306	33	23.9	58.6					
Russ Cochran	71.52	73	23	63.7	5	102824	676	278.6	1.761	3.61	414	28.3	20.3	60.1					
Ryan Palmer	71.53	71.33	26	63.7	7	96596	744	287.7	1.768	3.65	93.6	31	21.4	59.7					
Skip Kendall	71.54	71	21	63.2	5	511300	589	273.5	1.73	3.62	126	29.7	20.9	61.6					
