PLAYERNAME	scoring_average	putting_average	driving_average	money_earned	birdie_conversion	birdie_average
DustinJohnson	68.54	1.699	314	8457352	37.04	4.7
JustinRose	69.03	1.732	303.5	8130678	34.38	4.53
JustinThomas	69.06	1.714	311.8	8694821	35.08	4.34
WebbSimpson	69.25	1.741	293.7	5376417	29.45	3.59
BrooksKoepka	69.39	1.747	313.4	7094047	33.42	4.19
RickieFowler	69.41	1.744	299.8	4235237	31.75	4
TommyFleetwood	69.52	1.745	306.9	3935147	34.14	4.32
RoryMcIlroy	69.52	1.736	319.7	4410296	33.1	4
TonyFinau	69.53	1.735	315.1	5620138	32.79	4.13
JordanSpieth	69.53	1.755	299.8	2793536	32.22	4.16
TigerWoods	69.56	1.744	303.6	5443841	32.93	4.03
BrysonDeChambeau	69.6	1.758	305.7	8094489	33.25	4.2
JonRahm	69.65	1.747	308.9	3992678	34.46	4.44
HenrikStenson	69.66	1.8	291.5	2680487	27.4	3.64
JasonDay	69.69	1.716	310	5087461	34.63	4.18
ZachJohnson	69.69	1.742	289.8	1957635	30.74	3.86
BillyHorschel	69.76	1.757	295.4	4315200	30.34	3.91
HidekiMatsuyama	69.82	1.754	302	2687477	32.1	3.94
KevinNa	69.9	1.722	289.6	3578316	32.87	3.91
FrancescoMolinari	69.91	1.78	301	5065842	29.27	3.77
BrianGay	69.92	1.726	282.9	2152501	32.39	3.82
ChrisKirk	69.92	1.76	289.8	1824111	29.53	3.77
PatrickCantlay	69.93	1.781	303.1	3963962	29.85	3.83
JohnsonWagner	69.94	1.754	286.1	656322	28.96	3.65
RyanMoore	69.96	1.777	289.2	1986608	28.08	3.5
RafaCabreraBello	69.97	1.773	295.1	2449869	30.23	3.77
JasonKokrak	69.97	1.776	309.5	1794431	30.35	3.88
EmilianoGrillo	69.98	1.754	295.2	2493163	30.99	3.89
PaulCasey	70.04	1.775	304.3	3641771	29.79	3.77
JoelDahmen	70.04	1.778	295.8	1476838	29.52	3.75
PhilMickelson	70.06	1.699	300.3	4595187	35.96	4.31
C.T.Pan	70.06	1.77	292.7	1881787	28.35	3.79
CameronPercy	70.06	1.76	295.6	387612	29.92	3.76
AaronWise	70.06	1.748	302.9	3486407	32.32	4.11
BubbaWatson	70.08	1.773	313.1	5793748	30.24	3.75
J.J.Spaun	70.09	1.772	298.2	1978906	30.67	3.91
AndrewPutnam	70.1	1.783	293.8	2387382	27.68	3.63
KevinStreelman	70.1	1.797	295.1	1523642	26.35	3.57
ChessonHadley	70.11	1.74	300	2768863	31.89	3.94
CharlesHowellIII	70.11	1.782	300.9	2179725	27.77	3.55
AustinCook	70.12	1.756	292.3	2448920	31.04	3.92
BlayneBarber	70.13	1.781	294.7	398137	29.42	3.79
MarcLeishman	70.13	1.749	298.5	3771221	32.44	3.96
SamRyder	70.15	1.785	297.3	1046166	29.03	3.84
KeeganBradley	70.16	1.784	299.6	4069464	28.94	3.65
BrandtSnedeker	70.16	1.743	293.1	2448970	29.99	3.62
ChezReavie	70.19	1.767	286.5	2700018	29.57	3.71
BeauHossler	70.21	1.748	300	2449707	30.47	3.79
PatrickReed	70.21	1.746	298.1	5006267	31.5	3.76
GaryWoodland	70.21	1.794	313.5	3108907	29.92	3.8
BronsonBurgoon	70.22	1.778	302.8	1179616	30.27	3.81
RorySabbatini	70.22	1.776	292.3	1126057	29.64	3.73
RyanArmour	70.23	1.773	283.5	2485203	28.79	3.66
ByeongHunAn	70.26	1.791	307.9	2599264	28.98	3.65
AbrahamAncer	70.26	1.768	296.1	1676695	29.5	3.64
StewartCink	70.26	1.777	298.1	1887208	28.82	3.62
KyleStanley	70.26	1.781	295.7	3916001	29.16	3.82
KeithMitchell	70.3	1.788	312.6	1641260	31.9	4.09
VaughnTaylor	70.3	1.769	286.1	965691	31.41	3.91
