ht2	ht3	ht4	height	age
87.3	100.1	99.7	87.3	2
83.6	93.2	97.9	83.6	2
88.9	98.9	104.0	88.9	2
90.9	101.1	100.8	90.9	2
87.5	91.4	98.1	87.5	2
89.5	97.4	105.3	89.5	2
86.5	93.6	108.8	86.5	2
83.6	91.8	100.1	83.6	2
85.8	93.8	98.5	85.8	2
94.9	94.7	97.2	94.9	2
87.5	94.9	102.3	87.5	2
87.6	93.0	101.4	87.6	2
86.9	96.9	102.3	86.9	2
92.9	95.2	97.0	92.9	2
92.6	89.0	103.4	92.6	2
87.7	94.6	97.9	87.7	2
90.1	95.1	95.1	90.1	2
89.1	91.2	95.3	89.1	2
88.0	93.1	102.9	88.0	2
88.1	94.1	98.7	88.1	2
81.6	94.0	102.4	81.6	2
93.5	93.6	100.9	93.5	2
88.9	91.3	101.6	88.9	2
86.7	89.8	103.8	86.7	2
89.2	96.3	100.5	89.2	2
89.6	94.1	98.4	89.6	2
84.8	98.1	100.9	84.8	2
89.5	92.7	101.2	89.5	2
88.5	93.1	97.9	88.5	2
89.6	99.1	103.7	89.6	2
86.2	91.6	106.0	86.2	2
91.3	92.2	103.8	91.3	2
86.4	96.6	103.4	86.4	2
84.4	96.0	99.7	84.4	2
86.4	96.5	104.5	86.4	2
87.4	97.9	102.2	87.4	2
85.0	94.0	101.2	85.0	2
91.7	85.9	102.9	91.7	2
89.0	91.0	101.7	89.0	2
90.8	95.2	103.8	90.8	2
*	*	*	100.1	3
*	*	*	93.2	3
*	*	*	98.9	3
*	*	*	101.1	3
*	*	*	91.4	3
*	*	*	97.4	3
*	*	*	93.6	3
*	*	*	91.8	3
*	*	*	93.8	3
*	*	*	94.7	3
*	*	*	94.9	3
*	*	*	93.0	3
*	*	*	96.9	3
*	*	*	95.2	3
*	*	*	89.0	3
*	*	*	94.6	3
*	*	*	95.1	3
*	*	*	91.2	3
*	*	*	93.1	3
*	*	*	94.1	3
*	*	*	94.0	3
*	*	*	93.6	3
*	*	*	91.3	3
*	*	*	89.8	3
*	*	*	96.3	3
*	*	*	94.1	3
*	*	*	98.1	3
*	*	*	92.7	3
*	*	*	93.1	3
*	*	*	99.1	3
*	*	*	91.6	3
*	*	*	92.2	3
*	*	*	96.6	3
*	*	*	96.0	3
*	*	*	96.5	3
*	*	*	97.9	3
*	*	*	94.0	3
*	*	*	85.9	3
*	*	*	91.0	3
*	*	*	95.2	3
*	*	*	99.7	4
*	*	*	97.9	4
*	*	*	104.0	4
*	*	*	100.8	4
*	*	*	98.1	4
*	*	*	105.3	4
*	*	*	108.8	4
*	*	*	100.1	4
*	*	*	98.5	4
*	*	*	97.2	4
*	*	*	102.3	4
*	*	*	101.4	4
*	*	*	102.3	4
*	*	*	97.0	4
*	*	*	103.4	4
*	*	*	97.9	4
*	*	*	95.1	4
*	*	*	95.3	4
*	*	*	102.9	4
*	*	*	98.7	4
*	*	*	102.4	4
*	*	*	100.9	4
*	*	*	101.6	4
*	*	*	103.8	4
*	*	*	100.5	4
*	*	*	98.4	4
*	*	*	100.9	4
*	*	*	101.2	4
*	*	*	97.9	4
*	*	*	103.7	4
*	*	*	106.0	4
*	*	*	103.8	4
*	*	*	103.4	4
*	*	*	99.7	4
*	*	*	104.5	4
*	*	*	102.2	4
*	*	*	101.2	4
*	*	*	102.9	4
*	*	*	101.7	4
*	*	*	103.8	4
