height	age	agecat
87.3	2	age2
83.6	2	age2
88.9	2	age2
90.9	2	age2
87.5	2	age2
89.5	2	age2
86.5	2	age2
83.6	2	age2
85.8	2	age2
94.9	2	age2
87.5	2	age2
87.6	2	age2
86.9	2	age2
92.9	2	age2
92.6	2	age2
87.7	2	age2
90.1	2	age2
89.1	2	age2
88	2	age2
88.1	2	age2
81.6	2	age2
93.5	2	age2
88.9	2	age2
86.7	2	age2
89.2	2	age2
89.6	2	age2
84.8	2	age2
89.5	2	age2
88.5	2	age2
89.6	2	age2
86.2	2	age2
91.3	2	age2
86.4	2	age2
84.4	2	age2
86.4	2	age2
87.4	2	age2
85	2	age2
91.7	2	age2
89	2	age2
90.8	2	age2
100.1	3	age3
93.2	3	age3
98.9	3	age3
101.1	3	age3
91.4	3	age3
97.4	3	age3
93.6	3	age3
91.8	3	age3
93.8	3	age3
94.7	3	age3
94.9	3	age3
93	3	age3
96.9	3	age3
95.2	3	age3
89	3	age3
94.6	3	age3
95.1	3	age3
91.2	3	age3
93.1	3	age3
94.1	3	age3
94	3	age3
93.6	3	age3
91.3	3	age3
89.8	3	age3
96.3	3	age3
94.1	3	age3
98.1	3	age3
92.7	3	age3
93.1	3	age3
99.1	3	age3
91.6	3	age3
92.2	3	age3
96.6	3	age3
96	3	age3
96.5	3	age3
97.9	3	age3
94	3	age3
85.9	3	age3
91	3	age3
95.2	3	age3
99.7	4	age4
97.9	4	age4
104	4	age4
100.8	4	age4
98.1	4	age4
105.3	4	age4
108.8	4	age4
100.1	4	age4
98.5	4	age4
97.2	4	age4
102.3	4	age4
101.4	4	age4
102.3	4	age4
97	4	age4
103.4	4	age4
97.9	4	age4
95.1	4	age4
95.3	4	age4
102.9	4	age4
98.7	4	age4
102.4	4	age4
100.9	4	age4
101.6	4	age4
103.8	4	age4
100.5	4	age4
98.4	4	age4
100.9	4	age4
101.2	4	age4
97.9	4	age4
103.7	4	age4
106	4	age4
103.8	4	age4
103.4	4	age4
99.7	4	age4
104.5	4	age4
102.2	4	age4
101.2	4	age4
102.9	4	age4
101.7	4	age4
103.8	4	age4
