scientists	writers	politicians	military.leaders	artists	philosophers	social.reformers	historians	business.leaders	lifetime	occupation	
73	80	61	60	64	87	75	79	82	73	scientists	
87	78	78	78	58	63	86	65	69	87	scientists	
61	84	81	51	44	82	89	91	85	61	scientists	
80	56	91	75	55	76	60	74	75	80	scientists	
90	57	63	60	77	72	91	62	74	90	scientists	
56	86	65	64	66	70	74	61	61	56	scientists	
75	67	76	47	61	82	86	87	74	75	scientists	
82	70	57	58	68	67	76	71	68	82	scientists	
69	71	84	75	70	84	83	62	84	69	scientists	
85	65	43	77	45	82	85	84	74	85	scientists	
64	66	62	52	26	68	67	77	84	64	scientists	
77	42	82	60	66	47	88	68	90	77	scientists	
88	47	95	88	81	49	83	83	67	88	scientists	
80	77	72	70	88	77	71	86	78	80	scientists	
85	51	85	68	70	77	80	75	66	85	scientists	
94	46	64	84	43	52	85	83	78	94	scientists	
88	63	87	51	86	87	78	66	59	88	scientists	
77	78	76	57	82	80	95	58	65	77	scientists	
84	83	54	81	72	55	74	83	64	84	scientists	
71	41	63	67	68	79	69	96	69	71	scientists	
83	56	70	28	75	62	74	69	63	83	scientists	
79	45	83	37	77	57	79	75	65	79	scientists	
83	58	63	66	80	72	61	80	86	83	scientists	
68	72	78	41	70	66	59	59	78	68	scientists	
84	70	57	75	66	79	61	65	72	84	scientists	
70	64	75	80	66	54	75	58	70	70	scientists	
87	86	31	87	81	93	88	57	83	87	scientists	
67	55	76	78	81	71	39	57	71	67	scientists	
47	60	70	79	34	89	89	78	84	47	scientists	
66	58	65	69	74	55	63	91	70	66	scientists	
78	39	50	78	65	70	73	54	70	78	scientists	
73	30	76	56	78	52	82	63	66	73	scientists	
51	55	67	74	37	67	87	84	88	51	scientists	
88	77	68	44	74	42	66	83	81	88	scientists	
74	81	53	52	85	53	90	82	79	74	scientists	
55	49	51	78	81	61	70	57	81	55	scientists	
34	60	71	63	76	87	90	72	84	34	scientists	
50	40	64	65	71	59	63	85	56	50	scientists	
84	75	61	67	67	65	65	59	82	84	scientists	
61	36	65	77	98	46	83	58	67	61	scientists	
76	62	88	89	80	79	47	68	77	76	scientists	
