movie	score	genre	box.office	running.time	rating
2 Fast 2 Furious	48.9	action/adventure	127.146	107	PG-13
28 Days Later	78.2	horror	45.065	113	R
A Guy Thing	39.5	rom comedy	15.545	101	PG-13
A Man Apart	42.9	action/adventure	26.248	110	R
A Mighty Wind	79.9	comedy	17.781	91	PG-13
Agent Cody Banks	57.9	action/adventure	47.811	102	PG
Alex & Emma	35.1	rom comedy	14.219	96	PG-13
American Wedding	50.7	comedy	104.441	96	R
Anger Management	62.6	comedy	134.404	106	PG-13
Anything Else	63.3	rom comedy	3.212	108	R
Bad Boys II	38.1	action/adventure	138.397	147	R
Bad Santa	75.8	comedy	59.523	91	R
Basic	43.6	suspense	26.536	98	R
Beyond Borders	48.8	drama	4.43	127	R
big fish	78	drama	65.151	125	PG-13
Biker Boyz	44.8	action/adventure	21.731	110	PG-13
Boat Trip	29.2	comedy	8.6	94	R
Bringing Down the House	57.7	comedy	132.582	105	PG-13
Brother Bear	60.6	animated	84.874	84	G
Bruce Almighty	63.3	comedy	242.705	101	PG-13
Bulletproof Monk	47.3	action/adventure	23.359	104	PG-13
Cabin Fever	54.3	horror	21.158	93	R
Calendar Girls	67.3	comedy	29.591	108	PG-13
Charlie's Angles: Full Throttle	54.8	action/adventure	100.785	106	PG-13
Cheaper by the Dozen	52.9	comedy	135.445	98	PG
Cold Creek Manor	50.6	suspense	21.386	118	R
Cold Mountain	78	drama	90.712	152	R
Confidence	62.2	drama	12.218	97	R
Cradle 2 the Grave	45.8	action/adventure	34.613	101	R
Daddy Day Care	40.5	comedy	104.297	92	PG
Daredevil	52.1	action/adventure	102.544	103	PG-13
Dark Blue	58.7	drama	9.25	118	R
Darkness Falls	31.1	horror	32.131	86	PG-13
Deliver Us From Eva	61.8	rom comedy	17.366	105	R
"Dickie Roberts, Former Child Star"	52.6	comedy	22.739	98	PG-13
Down With Love	63.7	rom comedy	20.305	101	PG-13
Dr. Seuss' The Cat in the Hat	37.8	fantasy	99.88	82	PG
Dreamcatcher	42.5	sci-fi	33.7	136	R
