Name	Event	Wt			
Alex Osborne (2)	Men’s Quadruple Sculls 	208			
Anthony Fahden (b)	Lightweight Men’s Four	155			
Brett Newlin (4)	Men’s Eight 	225			
Charlie Cole (3)	Men’s Four 	200			
David Banks (7)	Men’s Eight 	192			
Elliot Hovey (s)	Men’s Quadruple Sculls 	205			
Giuseppe Lanzone (b)	Men’s Eight 	214			
Glenn Ochal (b)	Men’s Four 	200			
Grant James (s)	Men’s Eight 	195			
Henrik Rummel (2)	Men’s Four 	208			
Jake Cornelius (5)	Men’s Eight 	208			
Ken Jurkowski	Men’s Single Sculls 	210			
Nick LaCava (3)	Lightweight Men’s Four 	160			
Peter Graves (3)	Men’s Quadruple Sculls 	175			
Robin Prendes (s)	Lightweight Men’s Four 	155			
Ross James (3)	Men’s Eight 	195			
Scott Gault (s)	Men’s Four 	206			
Steve Kasprzyk (6)	Men’s Eight 	215			
Wes Piermarini (b)	Men’s Quadruple Sculls 	205			
Will Miller (2)	Men’s Eight 	205			
Will Newell (2)	Lightweight Men’s Four 	155			
Zach Vlahos (c)	Men’s Eight 	121			
