gender	Age	Height (feet)	Surfboard Length (feet)	Wave Height (Feet)
M	33	6.00000	8.16667	2.69
F	23	5.41667	7.16667	2.69
M	19	5.66667	8.50000	2.69
M	55	5.75000	9.25000	2.69
M	18	6.16667	8.75000	2.69
M	35	5.91667	8.33333	2.69
F	51	5.16667	8.50000	2.69
M	53	6.00000	9.00000	2.69
M	36	6.00000	8.66667	2.10
M	33	5.66667	8.83333	2.10
M	21	6.00000	7.50000	4.13
F	20	5.33333	7.16667	4.13
M	35	6.08333	7.50000	4.13
M	23	6.00000	6.16667	4.13
M	19	5.83333	6.50000	4.17
M	19	5.58333	6.66667	4.17
F	18	5.25000	7.00000	4.17
M	23	6.08333	6.00000	5.58
M	19	5.58333	6.66667	4.27
M	20	5.75000	8.00000	4.27
M	22	5.75000	7.50000	3.84
F	21	5.25000	8.00000	3.84
M	28	5.83333	7.16667	3.84
M	34	5.66667	8.00000	2.69
M	26	5.83333	8.50000	2.69
M	20	5.83333	9.33333	2.69
M	21	5.91667	8.83333	2.69
F	19	5.50000	8.25000	2.69
M	21	5.91667	8.50000	3.54
M	26	5.83333	6.83333	3.54
M	25	6.08333	7.75000	3.54
F	23	5.25000	6.83333	3.54
F	42	5.58333	8.00000	3.54
M	45	5.91667	7.16667	3.54
M	14	5.25000	7.33333	3.54
M	44	5.91667	6.83333	4.69
M	20	6.33333	9.50000	4.69
F	27	5.66667	6.16667	4.69
M	58	5.25000	6.00000	4.69
F	29	5.75000	5.83333	4.69
M	35	6.16667	6.50000	4.69
M	35	6.00000	6.16667	8.96
M	28	5.75000	5.83333	8.96
M	49	5.91667	7.16667	4.72
M	36	5.83333	7.25000	4.72
M	23	6.00000	7.00000	4.72
F	15	5.41667	6.16667	4.72
M	54	5.75000	6.50000	4.72
F	19	5.58333	8.16667	3.18
M	20	5.91667	7.66667	3.18
F	33	5.16667	8.00000	3.18
F	30	5.41667	8.25000	3.18
M	57	6.00000	7.50000	3.18
M	55	5.75000	8.50000	3.18
M	24	5.91667	8.00000	3.18
M	30	6.00000	8.16667	3.18
F	23	5.33333	5.83333	3.18
M	21	5.83333	9.25000	2.23
M	19	5.66667	8.00000	2.23
M	39	6.08333	9.16667	2.23
F	36	5.41667	7.66667	2.23
F	32	5.66667	7.50000	2.23
M	50	6.00000	8.00000	2.23
M	23	5.75000	7.33333	2.23
M	22	5.91667	8.83333	2.23
M	52	5.66667	7.00000	4.89
M	56	6.16667	6.83333	5.22
M	42	6.08333	6.66667	5.22
M	44	5.66667	6.16667	6.04
F	23	5.58333	6.50000	5.74
M	17	5.66667	6.00000	5.74
M	19	5.83333	6.25000	5.74
M	23	6.00000	7.16667	3.74
M	21	6.08333	7.75000	3.74
F	19	5.75000	7.66667	3.74
F	20	5.66667	7.83333	3.74
M	35	6.00000	8.16667	3.74
M	29	6.08333	8.16667	2.53
F	26	5.75000	9.00000	2.53
M	56	6.00000	8.50000	2.53
F	54	5.41667	7.83333	2.53
M	24	5.83333	8.83333	2.53
F	33	5.50000	7.00000	2.53
F	51	5.58333	8.33333	2.53
M	55	5.91667	8.50000	2.53
M	23	6.00000	9.16667	2.53
